iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,200.0,-0.8853763341903691,0.0,nan,40.0,800.0,0.04995299270376563,0.04777534726886579,1.0,0.0,0.0,0.25,0.0,0.041144371032714844,2.7996110916137695,11.33257168559794,10.0,1.0,195.0,-0.6046392500400546
2.0,113.0,-0.8615337806940079,0.0,nan,24.0,452.0,0.14205950871109962,0.028190480698241593,,,,,,,,,,,,
3.0,200.0,9.213147270912303,0.25,nan,40.0,800.0,10.764298439025879,0.08188837750438438,,,,,,,,,,,,
4.0,145.0,-0.3618259027600294,0.0,nan,32.0,580.0,0.02329775271937251,0.050674662353837885,,,,,,,,,,,,
5.0,69.0,-0.13041793197393423,0.0,nan,16.0,276.0,0.0025095404125750065,0.04810593811823338,,,,,,,,,,,,
6.0,200.0,10.894236011803152,0.5,nan,44.0,800.0,7.26792049407959,0.024094907641167396,,,,,,,,,,,,
7.0,200.0,4.2767926588654515,0.5,nan,40.0,800.0,7.095640063285828,0.01517947504513728,,,,,,,,,,,,
8.0,200.0,0.5125995039939882,0.0,nan,40.0,800.0,0.05874852277338505,0.007795331172220088,,,,,,,,,,,,
9.0,200.0,-0.9359665565192704,0.0,nan,40.0,800.0,0.06546683143824339,0.06724338211170622,,,,,,,,,,,,
10.0,200.0,1.2818616817705333,0.5,nan,40.0,800.0,0.6063114106655121,0.03623619692081004,1.0,0.0,0.0,0.25,0.0,1.3057881593704224,-0.12988829612731934,4.452140347799286,4.0,1.0,75.0,-0.26689498424530034
11.0,200.0,-0.7292213603854181,0.0,nan,40.0,800.0,0.05364508181810379,0.022347332781017748,,,,,,,,,,,,
12.0,200.0,-0.1297296077013022,0.0,nan,40.0,800.0,0.023691353388130665,0.029359274020862358,,,,,,,,,,,,
13.0,200.0,27.10567216341152,0.5,nan,44.0,800.0,11.921887159347534,0.021970510694249157,,,,,,,,,,,,
14.0,125.0,9.72536572990939,0.25,nan,28.0,500.0,4.368338942527771,0.013652075668705549,,,,,,,,,,,,
15.0,200.0,29.17671569869854,0.75,nan,40.0,800.0,57.02313423156738,0.016211642989500064,,,,,,,,,,,,
16.0,195.0,22.782313296198847,0.5,nan,40.0,780.0,10.117013931274414,0.026343486886780454,,,,,,,,,,,,
