iteration,n_rounds,skill_ids,skill_names,t_start,t_end
17,17,"[2, 2, 2, 4, 0, 4, 0, 3, 4, 1, 1, 3, 3, 5, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""cruise"", ""turn_left"", ""cruise"", ""turn_left"", ""decelerate"", ""cruise"", ""turn_right"", ""turn_right"", ""decelerate"", ""decelerate"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 60, 80, 84, 104, 108, 109, 129, 132, 134, 135, 136, 156, 176, 196]","[20, 40, 60, 80, 84, 104, 108, 109, 129, 132, 134, 135, 136, 156, 176, 196, 200]"
18,12,"[2, 5, 2, 2, 2, 2, 4, 1, 3, 2, 5, 4]","[""accelerate"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""cruise"", ""turn_right"", ""decelerate"", ""accelerate"", ""hover"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 143, 144, 164, 184]","[20, 40, 60, 80, 100, 120, 140, 143, 144, 164, 184, 200]"
19,10,"[2, 5, 2, 5, 5, 2, 2, 2, 5, 5]","[""accelerate"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
20,11,"[2, 2, 2, 2, 2, 4, 3, 5, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""cruise"", ""decelerate"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 121, 141, 161, 181]","[20, 40, 60, 80, 100, 120, 121, 141, 161, 181, 200]"
21,10,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 5]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
22,10,"[2, 2, 5, 2, 2, 2, 2, 5, 2, 2]","[""accelerate"", ""accelerate"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover"", ""accelerate"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
23,2,"[5, 1]","[""hover"", ""turn_right""]","[0, 20]","[20, 21]"
24,11,"[4, 3, 2, 2, 5, 5, 5, 2, 2, 5, 2]","[""cruise"", ""decelerate"", ""accelerate"", ""accelerate"", ""hover"", ""hover"", ""hover"", ""accelerate"", ""accelerate"", ""hover"", ""accelerate""]","[0, 20, 21, 41, 61, 81, 101, 121, 141, 161, 181]","[20, 21, 41, 61, 81, 101, 121, 141, 161, 181, 200]"
25,10,"[5, 5, 5, 2, 2, 5, 5, 2, 2, 2]","[""hover"", ""hover"", ""hover"", ""accelerate"", ""accelerate"", ""hover"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
26,10,"[5, 5, 5, 2, 2, 2, 5, 2, 2, 5]","[""hover"", ""hover"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover"", ""accelerate"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
27,10,"[4, 2, 2, 2, 5, 2, 2, 2, 2, 5]","[""cruise"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
28,2,"[5, 2]","[""hover"", ""accelerate""]","[0, 20]","[20, 21]"
29,8,"[2, 5, 2, 2, 5, 4, 4, 5]","[""accelerate"", ""hover"", ""accelerate"", ""accelerate"", ""hover"", ""cruise"", ""cruise"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140]","[20, 40, 60, 80, 100, 120, 140, 153]"
30,3,"[4, 4, 5]","[""cruise"", ""cruise"", ""hover""]","[0, 20, 40]","[20, 40, 53]"
31,10,"[2, 5, 5, 2, 5, 2, 5, 5, 2, 5]","[""accelerate"", ""hover"", ""hover"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
32,10,"[5, 5, 2, 2, 2, 5, 5, 5, 4, 5]","[""hover"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover"", ""hover"", ""hover"", ""cruise"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
33,10,"[5, 2, 2, 5, 2, 2, 5, 2, 2, 5]","[""hover"", ""accelerate"", ""accelerate"", ""hover"", ""accelerate"", ""accelerate"", ""hover"", ""accelerate"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
34,5,"[2, 2, 2, 4, 5]","[""accelerate"", ""accelerate"", ""accelerate"", ""cruise"", ""hover""]","[0, 20, 40, 60, 80]","[20, 40, 60, 80, 97]"
35,3,"[5, 4, 5]","[""hover"", ""cruise"", ""hover""]","[0, 20, 40]","[20, 40, 56]"
36,10,"[5, 5, 5, 2, 5, 2, 5, 5, 2, 5]","[""hover"", ""hover"", ""hover"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
37,3,"[4, 4, 5]","[""cruise"", ""cruise"", ""hover""]","[0, 20, 40]","[20, 40, 54]"
38,10,"[4, 5, 2, 5, 5, 5, 5, 5, 2, 2]","[""cruise"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""hover"", ""hover"", ""hover"", ""accelerate"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
39,2,"[5, 0]","[""hover"", ""turn_left""]","[0, 20]","[20, 21]"
40,10,"[5, 2, 5, 4, 2, 5, 2, 5, 5, 2]","[""hover"", ""accelerate"", ""hover"", ""cruise"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
41,9,"[2, 5, 5, 5, 2, 5, 4, 1, 5]","[""accelerate"", ""hover"", ""hover"", ""hover"", ""accelerate"", ""hover"", ""cruise"", ""turn_right"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 144]","[20, 40, 60, 80, 100, 120, 140, 144, 159]"
42,5,"[5, 5, 5, 4, 5]","[""hover"", ""hover"", ""hover"", ""cruise"", ""hover""]","[0, 20, 40, 60, 80]","[20, 40, 60, 80, 96]"
43,10,"[5, 2, 5, 5, 5, 2, 2, 5, 5, 5]","[""hover"", ""accelerate"", ""hover"", ""hover"", ""hover"", ""accelerate"", ""accelerate"", ""hover"", ""hover"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
44,10,"[5, 2, 2, 5, 2, 2, 5, 2, 5, 2]","[""hover"", ""accelerate"", ""accelerate"", ""hover"", ""accelerate"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
45,10,"[2, 5, 5, 5, 2, 5, 2, 5, 2, 5]","[""accelerate"", ""hover"", ""hover"", ""hover"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
46,10,"[2, 5, 2, 5, 5, 5, 2, 5, 5, 5]","[""accelerate"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
47,10,"[5, 5, 2, 2, 2, 5, 2, 5, 2, 5]","[""hover"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
48,3,"[4, 0, 5]","[""cruise"", ""turn_left"", ""hover""]","[0, 20, 23]","[20, 23, 38]"
49,2,"[5, 5]","[""hover"", ""hover""]","[0, 20]","[20, 21]"
50,10,"[2, 5, 5, 5, 5, 2, 5, 2, 5, 2]","[""accelerate"", ""hover"", ""hover"", ""hover"", ""hover"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
51,3,"[5, 4, 5]","[""hover"", ""cruise"", ""hover""]","[0, 20, 40]","[20, 40, 56]"
52,2,"[4, 5]","[""cruise"", ""hover""]","[0, 20]","[20, 36]"
53,6,"[5, 5, 5, 5, 4, 5]","[""hover"", ""hover"", ""hover"", ""hover"", ""cruise"", ""hover""]","[0, 20, 40, 60, 80, 100]","[20, 40, 60, 80, 100, 116]"
54,5,"[5, 5, 5, 4, 5]","[""hover"", ""hover"", ""hover"", ""cruise"", ""hover""]","[0, 20, 40, 60, 80]","[20, 40, 60, 80, 95]"
55,10,"[5, 5, 5, 2, 5, 2, 5, 5, 5, 5]","[""hover"", ""hover"", ""hover"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""hover"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
56,2,"[4, 5]","[""cruise"", ""hover""]","[0, 20]","[20, 35]"
57,10,"[5, 2, 5, 2, 5, 2, 5, 5, 5, 2]","[""hover"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""hover"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
58,2,"[4, 5]","[""cruise"", ""hover""]","[0, 20]","[20, 35]"
59,3,"[2, 4, 5]","[""accelerate"", ""cruise"", ""hover""]","[0, 20, 40]","[20, 40, 55]"
60,10,"[5, 5, 5, 5, 4, 5, 2, 5, 5, 4]","[""hover"", ""hover"", ""hover"", ""hover"", ""cruise"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
61,10,"[2, 5, 5, 5, 5, 2, 2, 2, 2, 4]","[""accelerate"", ""hover"", ""hover"", ""hover"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
62,10,"[5, 2, 5, 5, 5, 4, 5, 5, 5, 2]","[""hover"", ""accelerate"", ""hover"", ""hover"", ""hover"", ""cruise"", ""hover"", ""hover"", ""hover"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
63,10,"[2, 5, 5, 5, 5, 5, 2, 2, 2, 5]","[""accelerate"", ""hover"", ""hover"", ""hover"", ""hover"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
64,10,"[2, 5, 4, 5, 5, 5, 5, 5, 5, 2]","[""accelerate"", ""hover"", ""cruise"", ""hover"", ""hover"", ""hover"", ""hover"", ""hover"", ""hover"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
65,12,"[5, 2, 5, 2, 5, 4, 1, 1, 5, 2, 2, 5]","[""hover"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""cruise"", ""turn_right"", ""turn_right"", ""hover"", ""accelerate"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 126, 134, 154, 174, 194]","[20, 40, 60, 80, 100, 120, 126, 134, 154, 174, 194, 200]"
66,10,"[5, 4, 5, 2, 2, 2, 2, 5, 5, 4]","[""hover"", ""cruise"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover"", ""hover"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
67,12,"[2, 4, 1, 5, 2, 5, 5, 4, 3, 5, 2, 5]","[""accelerate"", ""cruise"", ""turn_right"", ""hover"", ""accelerate"", ""hover"", ""hover"", ""cruise"", ""decelerate"", ""hover"", ""accelerate"", ""hover""]","[0, 20, 40, 45, 65, 85, 105, 125, 145, 146, 166, 186]","[20, 40, 45, 65, 85, 105, 125, 145, 146, 166, 186, 200]"
68,6,"[5, 5, 5, 5, 4, 5]","[""hover"", ""hover"", ""hover"", ""hover"", ""cruise"", ""hover""]","[0, 20, 40, 60, 80, 100]","[20, 40, 60, 80, 100, 114]"
69,3,"[2, 4, 5]","[""accelerate"", ""cruise"", ""hover""]","[0, 20, 40]","[20, 40, 54]"
70,13,"[5, 4, 3, 4, 3, 1, 2, 5, 2, 5, 4, 5, 2]","[""hover"", ""cruise"", ""decelerate"", ""cruise"", ""decelerate"", ""turn_right"", ""accelerate"", ""hover"", ""accelerate"", ""hover"", ""cruise"", ""hover"", ""accelerate""]","[0, 20, 40, 42, 62, 63, 66, 86, 106, 126, 146, 166, 186]","[20, 40, 42, 62, 63, 66, 86, 106, 126, 146, 166, 186, 200]"
71,4,"[2, 5, 4, 5]","[""accelerate"", ""hover"", ""cruise"", ""hover""]","[0, 20, 40, 60]","[20, 40, 60, 74]"
72,11,"[4, 4, 4, 1, 5, 4, 2, 2, 2, 2, 4]","[""cruise"", ""cruise"", ""cruise"", ""turn_right"", ""hover"", ""cruise"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""cruise""]","[0, 20, 40, 60, 62, 82, 102, 122, 142, 162, 182]","[20, 40, 60, 62, 82, 102, 122, 142, 162, 182, 200]"
73,2,"[4, 5]","[""cruise"", ""hover""]","[0, 20]","[20, 34]"
74,8,"[5, 2, 2, 5, 5, 4, 4, 5]","[""hover"", ""accelerate"", ""accelerate"", ""hover"", ""hover"", ""cruise"", ""cruise"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140]","[20, 40, 60, 80, 100, 120, 140, 151]"
75,3,"[4, 4, 5]","[""cruise"", ""cruise"", ""hover""]","[0, 20, 40]","[20, 40, 51]"
76,7,"[5, 5, 5, 2, 4, 4, 5]","[""hover"", ""hover"", ""hover"", ""accelerate"", ""cruise"", ""cruise"", ""hover""]","[0, 20, 40, 60, 80, 100, 120]","[20, 40, 60, 80, 100, 120, 131]"
77,2,"[4, 5]","[""cruise"", ""hover""]","[0, 20]","[20, 34]"
78,4,"[4, 2, 4, 5]","[""cruise"", ""accelerate"", ""cruise"", ""hover""]","[0, 20, 40, 60]","[20, 40, 60, 72]"
79,2,"[4, 5]","[""cruise"", ""hover""]","[0, 20]","[20, 34]"
80,10,"[5, 4, 4, 5, 5, 4, 4, 5, 4, 4]","[""hover"", ""cruise"", ""cruise"", ""hover"", ""hover"", ""cruise"", ""cruise"", ""hover"", ""cruise"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
81,3,"[5, 4, 5]","[""hover"", ""cruise"", ""hover""]","[0, 20, 40]","[20, 40, 54]"
82,3,"[5, 4, 5]","[""hover"", ""cruise"", ""hover""]","[0, 20, 40]","[20, 40, 54]"
83,12,"[5, 4, 4, 3, 4, 4, 5, 4, 3, 2, 4, 4]","[""hover"", ""cruise"", ""cruise"", ""decelerate"", ""cruise"", ""cruise"", ""hover"", ""cruise"", ""decelerate"", ""accelerate"", ""cruise"", ""cruise""]","[0, 20, 40, 60, 62, 82, 102, 122, 142, 143, 163, 183]","[20, 40, 60, 62, 82, 102, 122, 142, 143, 163, 183, 200]"
84,3,"[4, 3, 5]","[""cruise"", ""decelerate"", ""hover""]","[0, 20, 22]","[20, 22, 37]"
85,11,"[2, 5, 5, 4, 4, 4, 4, 5, 0, 4, 4]","[""accelerate"", ""hover"", ""hover"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""hover"", ""turn_left"", ""cruise"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 171, 191]","[20, 40, 60, 80, 100, 120, 140, 160, 171, 191, 200]"
86,4,"[4, 4, 3, 5]","[""cruise"", ""cruise"", ""decelerate"", ""hover""]","[0, 20, 40, 42]","[20, 40, 42, 53]"
87,12,"[2, 4, 4, 4, 5, 4, 4, 4, 2, 5, 1, 2]","[""accelerate"", ""cruise"", ""cruise"", ""cruise"", ""hover"", ""cruise"", ""cruise"", ""cruise"", ""accelerate"", ""hover"", ""turn_right"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 161, 181, 193]","[20, 40, 60, 80, 100, 120, 140, 160, 161, 181, 193, 200]"
88,10,"[4, 4, 4, 4, 2, 4, 4, 4, 2, 5]","[""cruise"", ""cruise"", ""cruise"", ""cruise"", ""accelerate"", ""cruise"", ""cruise"", ""cruise"", ""accelerate"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 187]"
89,10,"[5, 4, 4, 4, 4, 5, 4, 4, 4, 4]","[""hover"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""hover"", ""cruise"", ""cruise"", ""cruise"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
90,10,"[4, 4, 4, 2, 4, 4, 5, 4, 4, 4]","[""cruise"", ""cruise"", ""cruise"", ""accelerate"", ""cruise"", ""cruise"", ""hover"", ""cruise"", ""cruise"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
91,10,"[4, 4, 4, 4, 5, 4, 2, 4, 4, 5]","[""cruise"", ""cruise"", ""cruise"", ""cruise"", ""hover"", ""cruise"", ""accelerate"", ""cruise"", ""cruise"", ""hover""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
92,10,"[4, 4, 4, 4, 4, 4, 2, 4, 4, 4]","[""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""accelerate"", ""cruise"", ""cruise"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
93,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
94,11,"[4, 4, 4, 4, 4, 4, 5, 4, 4, 0, 4]","[""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""hover"", ""cruise"", ""cruise"", ""turn_left"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 188]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 188, 200]"
95,11,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4]","[""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""cruise"", ""accelerate"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 187]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 187, 200]"
