iteration,curriculum_single_agent_stage,steps_collected,episode_return_mean,safe_reach_ratio,skill_entropy_norm,top1_skill_ratio,high_div_bonus_mean,conv_eval_success_delta_w5,high_entropy_coef,low_entropy_coef,low_reference_pretrain_stage,high_samples,low_samples,loss_high_total,loss_low_mean,loss_low_actor,loss_low_value,low_entropy,low_f_mean_x,low_f_mean_y,low_h_eig_min,low_h_eig_max,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,0.0,200.0,1.5515423715114693,0.0,0.9730005728074531,0.2882882882882883,0.0,nan,0.05,0.0005,1.0,111.0,800.0,1.058693304657936,1.0479676251239312,0.9632789708313725,0.16905039894789553,0.0,-17.294075274374336,13.694562788819894,11.1461549019441,27.42410323943477,1.0,1.0,1.0,0.0,1.0,0.6152876615524292,1.6190040111541748,11.765098345698789,83.0,1.0,188.0,328.7938626696173
2.0,0.0,125.0,8.101440782900907,1.0,0.9649135825910683,0.3111111111111111,0.0,nan,0.049942775393419174,0.000494949494949495,1.0,45.0,379.0,11.30870270729065,0.7380431669516838,0.019357113875770438,1.4369958442481163,0.0,-2.731803867034614,0.9742469303309917,36.57353027537465,75.98671801388264,,,,,,,,,,,,
3.0,0.0,111.0,8.168683067709217,1.0,0.9939720697109364,0.25,0.0,nan,0.049885550786838345,0.0004898989898989899,1.0,48.0,395.0,10.713798999786377,0.6577030056650983,0.00951420960672067,1.2962572593062354,0.0,4.849701555911452,-2.394656291231513,37.14518792182207,69.40330390632153,,,,,,,,,,,,
4.0,0.0,200.0,7.755694604106255,1.0,0.9363336546090439,0.3541666666666667,0.0,nan,0.049828326180257516,0.00048484848484848484,1.0,48.0,415.0,12.506401062011719,1.0342044724038715,0.03686627494701611,1.994552969227371,0.0,2.8075501583516598,-43.51778480387293,37.01079223304987,139.17944921553135,,,,,,,,,,,,
5.0,0.0,68.0,3.2116215872764595,0.5,0.9642508881774653,0.2857142857142857,0.0,nan,0.04977110157367668,0.0004797979797979798,1.0,28.0,223.0,3.5426380038261414,0.48165544003223154,0.02383420743992097,0.9155396773543574,0.0,-2.448977531873592,-14.256015598339618,21.644745093824618,61.885014687952975,,,,,,,,,,,,
6.0,0.0,200.0,5.461906154230258,0.25,0.9801836262155659,0.2625,0.0,nan,0.04971387696709585,0.00047474747474747476,1.0,80.0,674.0,5.036477118730545,0.14120627422698817,0.03583006118998355,0.21072709637267195,0.0,5.676611454226077,2.2376546629238874,17.08789023850113,48.097263775765896,,,,,,,,,,,,
7.0,0.0,116.0,8.35856405273081,1.0,0.9776061767683148,0.25,0.0,nan,0.04965665236051502,0.0004696969696969697,1.0,48.0,400.0,10.69602108001709,0.6610172967975814,0.014216460855067226,1.2934525187700388,0.0,2.5292688789777458,-3.9601845622528344,61.7641571611166,137.11674493551254,,,,,,,,,,,,
8.0,0.0,178.0,10.882473113872134,1.0,0.9833386649147757,0.2465753424657534,0.0,nan,0.049599427753934194,0.0004646464646464647,1.0,73.0,643.0,17.03699290752411,0.6578097593076109,0.00761473961460927,1.300212952556091,0.0,0.7432597145671025,0.9199730991385877,48.874411802738905,97.97647279500961,,,,,,,,,,,,
9.0,0.0,106.0,3.6003818232379947,0.25,0.9951949471859096,0.2222222222222222,0.0,nan,0.049542203147353366,0.0004595959595959596,1.0,45.0,392.0,4.420049786567688,0.3375574673932533,0.060302502545996006,0.5539969773509884,0.0,-1.6256406451575458,4.620114526012912,22.83097549295053,50.78623751923442,,,,,,,,,,,,
10.0,0.0,200.0,6.868342044800535,0.75,0.9544359446834519,0.3582089552238806,0.0,nan,0.04948497854077254,0.00045454545454545455,1.0,67.0,541.0,8.40999585390091,0.4685198586815318,0.008404105895849057,0.9201743462638756,0.0,3.8586740783648565,9.138445546501316,27.457904279232025,47.9679364413023,1.0,1.0,1.0,0.0,1.0,0.10578775405883789,1.6316518783569336,11.69991198903881,84.0,1.0,197.0,326.25491902671786
11.0,0.0,167.0,10.179775917679093,1.0,0.985457627895032,0.25,0.0,nan,0.04942775393419171,0.0004494949494949495,1.0,68.0,604.0,15.033313870429993,0.7935879365422807,0.004675209821843667,1.5775621441547987,0.0,3.4495788818458095,-3.5335471474099904,72.58117131143808,107.8368172198534,,,,,,,,,,,,
12.0,0.0,142.0,8.002721977485352,1.0,0.9064402628920892,0.35555555555555557,0.0,nan,0.04937052932761087,0.00044444444444444447,1.0,45.0,403.0,10.312116622924805,0.6484559260823062,0.052489530476577784,1.1916485768184781,0.0,10.728646338917315,1.6921042966423556,76.01553613692522,129.22128911316395,,,,,,,,,,,,
13.0,0.0,179.0,10.248076662961413,1.0,0.9802987292801394,0.2608695652173913,0.0,nan,0.049313304721030043,0.0004393939393939394,1.0,69.0,632.0,14.424254059791565,0.5205608218386715,0.005351622500272768,1.0297253225299485,0.0,2.7958116848021746,-2.3479819503845647,68.8076379224658,95.99556764960289,,,,,,,,,,,,
14.0,0.0,138.0,8.07047854259611,1.0,0.9890875963561756,0.2558139534883721,0.0,nan,0.049256080114449215,0.00043434343434343433,1.0,43.0,377.0,12.645280122756958,0.9537220013635306,0.014803212944451975,1.8776331477179156,0.0,-12.095960306585766,2.568133466586005,95.10820916295052,161.4571751356125,,,,,,,,,,,,
15.0,0.0,198.0,8.376785458028326,1.0,0.9494486637008739,0.3673469387755102,0.0,nan,0.049198855507868386,0.0004292929292929293,1.0,49.0,434.0,14.089040040969849,1.1160522454288184,0.018152266168598885,2.1941481683566337,0.0,-20.049751079408452,13.594055390451103,99.59836641699076,148.8989009410143,,,,,,,,,,,,
16.0,0.0,134.0,7.767374871522195,1.0,0.9361495193332847,0.30952380952380953,0.0,nan,0.04914163090128756,0.00042424242424242425,1.0,42.0,346.0,10.550859451293945,0.6218542808641132,0.01182944417496401,1.2198869973968915,0.0,0.3060536266420968,9.371638044365682,71.85513601452112,132.90185099840164,,,,,,,,,,,,
17.0,0.0,77.0,1.840908776521688,0.0,0.9917305227075984,0.24324324324324326,0.0,nan,0.04908440629470673,0.0004191919191919192,1.0,37.0,308.0,2.4212055802345276,0.19340884748879716,0.020864200857561244,0.34492376858631246,0.0,2.8663219215814024,0.08917090040631592,44.08977480139583,107.81123031675816,,,,,,,,,,,,
