iteration,episode_return_mean,train_success_rate,train_collision_rate,high_samples,loss_high_total,loss_high_actor,loss_high_value,high_entropy,high_approx_kl,high_clip_frac,eval_episode_return_mean,eval_success_rate,eval_collision_rate,eval_steps_mean
1.0,-1.0097143745422361,0.0,0.1875,43.0,0.15167642571032047,-0.025687267976749695,0.38658684492111206,1.5929729044437408,-0.0018826744175344245,0.0,-0.9795410847663879,0.0,0.125,5.375
2.0,-1.033033984899521,0.0,0.0625,38.0,0.037743141409009695,-0.033090773283650066,0.17379826493561268,1.6065216958522797,0.015826462106288908,0.02631578966975212,,,,
3.0,-0.978622204065323,0.0,0.4375,64.0,-0.018315825145691633,-0.027299375331494957,0.04985461290925741,1.5943755507469177,-0.006712146103382111,0.03515625,,,,
4.0,-0.9224115818738938,0.0,0.625,88.0,-0.027809142600744963,-0.03137278789654374,0.03785303048789501,1.5362868458032608,0.017834403028246015,0.2044270858168602,,,,
5.0,-0.9789458721876143,0.0,0.3125,82.0,0.013256121426820755,-0.050490076187998056,0.1572789279744029,1.4893266409635544,0.010104566965310369,0.023654513992369175,,,,
6.0,-0.9055005502700805,0.0,0.5625,53.0,-0.019420058466494083,-0.0210288658272475,0.030995778739452362,1.388908177614212,0.006998546555514906,0.0,,,,
7.0,-0.764275084733963,0.0,1.0,81.0,-0.02754372067283839,-0.02362860064022243,0.0174538652645424,1.2642052620649338,-0.02474288885423448,0.29124540835618973,,,,
8.0,-0.8026613265275955,0.0,0.9375,103.0,-0.0032708924263715744,-0.004279467277228832,0.025113582145422697,1.1548216491937637,0.014342674461659044,0.021885016933083534,,,,
9.0,-0.7920157682895661,0.0,0.75,64.0,-0.02004958805628121,-0.01592190726660192,0.011153141036629677,0.9704251438379288,-0.0003911633975803852,0.0,,,,
10.0,-0.7708131349086762,0.0,0.875,69.0,0.06232247088337317,0.06460771369893337,0.011260610190220177,0.7915554046630859,0.023747743922285736,0.1316406261175871,,,,
11.0,-0.758187893629074,0.0,0.875,76.0,0.0035953152691945434,0.006972698960453272,0.006025955604854971,0.6390362530946732,0.01881892544679431,0.048828125931322575,,,,
12.0,-0.7894770789146424,0.0,0.8125,92.0,-0.03162987297400832,-0.029832704924046993,0.00859310879604891,0.6093724295496941,0.010769096901640296,0.04827008955180645,,,,
13.0,-0.7153686428070068,0.0,1.0,92.0,-0.01793581631500274,-0.014842633623629808,0.002034059987636283,0.4110213369131088,-0.001164361703558825,0.014229910913854837,,,,
14.0,-0.7138489460945129,0.0,0.9375,102.0,-0.020452877040952444,-0.018084045266732574,0.002285836962983012,0.3511754497885704,-0.0028814979923481587,0.005242598708719015,,,,
15.0,-0.6948736023902893,0.0,1.0,100.0,-0.013077195268124342,-0.011037021176889539,0.0012488022039178759,0.26645755395293236,0.006195415247930214,0.029513888992369175,,,,
16.0,-0.70262761592865,0.0,1.0,106.0,-0.012327039788942784,-0.010553429427091032,0.0008331901772180572,0.2190207913517952,0.0004907975671812892,0.0059523810632526875,,,,
17.0,-0.7018077099323272,0.0,1.0,104.0,-0.015783173264935613,-0.014408695511519909,0.0008479839016217738,0.17984689585864544,0.007166928786318749,0.025390625465661287,,,,
18.0,-0.6944341957569122,0.0,1.0,106.0,-0.025634017074480653,-0.024515262339264154,0.0005867985055374447,0.14121524710208178,-0.0011186425290361512,0.0029761905316263437,,,,
19.0,-0.6951881790161133,0.0,1.0,106.0,-0.023709090426564217,-0.022852552123367786,0.0005557647637033369,0.11344192642718554,0.0017975755035877228,0.007905506063252687,,,,
20.0,-0.6941961228847504,0.0,1.0,109.0,0.0024942895397543907,0.0031749773770570755,0.00043865445695701055,0.09000162873417139,-0.0003216077675460838,0.0027777778450399637,-0.6915326309204102,0.0,1.0,27.0
21.0,-0.6934698724746704,0.0,1.0,109.0,-0.005397115368396044,-0.004865895491093397,0.00039777550045982935,0.0730110015720129,-0.0002263852147734724,0.0,,,,
22.0,-0.6929704058170318,0.0,1.0,110.0,0.004996127914637327,0.0054435720667243,0.0003527756125549786,0.06238353392109275,0.0006262484912440414,0.0027173913549631834,,,,
23.0,-0.692144067287445,0.0,1.0,111.0,0.007258524419739842,0.007622311357408762,0.00032018847377912607,0.05238837609067559,0.0004297944669815479,0.002659574383869767,,,,
24.0,-0.6915326309204102,0.0,1.0,112.0,-0.001347142388112843,-0.0010412331903353333,0.0002981610923598055,0.04549902677536011,-0.0003255059291404905,0.0,,,,
25.0,-0.7117997348308563,0.0,0.9375,105.0,-0.007649289618711919,-0.008012116013560444,0.0015391637480206555,0.04067559214308858,0.0018821993871824816,0.001953125,,,,
26.0,-0.6915326309204102,0.0,1.0,112.0,0.00984840968158096,0.010055642807856202,0.0002685838862817036,0.03415273455902934,-0.0003561095018085325,0.0,,,,
27.0,-0.6915326309204102,0.0,1.0,112.0,-3.2005831599235535e-05,0.00015697255730628967,0.00024977257453429047,0.03138643712736666,-0.000101407989859581,0.0,,,,
28.0,-0.6915326309204102,0.0,1.0,112.0,-0.012258497765287757,-0.012060156092047691,0.00021689087952836417,0.030678967013955116,-9.220403853760217e-06,0.0,,,,
29.0,-0.6915326309204102,0.0,1.0,112.0,0.0023310109390877187,0.0025474101421423256,0.00018606288358569145,0.03094306169077754,2.610062580288286e-05,0.0,,,,
30.0,-0.6915326309204102,0.0,1.0,112.0,-0.002276722574606538,-0.002048191148787737,0.00017218746143043973,0.03146255761384964,3.954178328058333e-05,0.0,,,,
31.0,-0.6921033728122712,0.0,1.0,108.0,-0.01051417039707303,-0.010325632290914655,0.00021662387553078588,0.029685082146897912,0.000745727430057741,0.001953125,,,,
32.0,-0.692496954202652,0.0,1.0,109.0,0.008546545635908842,0.008687387220561504,0.00020214936375850812,0.02419157326221466,0.0008145159663399681,0.001953125,,,,
33.0,-0.6915326309204102,0.0,1.0,112.0,0.005732916761189699,0.005823814310133457,0.00020935248176101595,0.01955740642733872,-0.00019579411764425458,0.0,,,,
34.0,-0.6915326309204102,0.0,1.0,112.0,0.001499235862866044,0.0015716564375907183,0.00021114768787811045,0.01779947616159916,-6.350657645270985e-05,0.0,,,,
35.0,-0.6915326309204102,0.0,1.0,112.0,-0.012178262695670128,-0.012103584129363298,0.00019571248776628636,0.017253411002457142,-1.5116607073650812e-05,0.0,,,,
36.0,-0.6915326309204102,0.0,1.0,112.0,-0.002776866313070059,-0.002689940854907036,0.00017057349577953573,0.017221120186150074,3.6060809982529918e-06,0.0,,,,
37.0,-0.691758383512497,0.0,1.0,112.0,0.004010244621895254,0.004101091995835304,0.00015804940085217822,0.016987207112833858,0.00025838086139629013,0.0,,,,
38.0,-0.6915326309204102,0.0,1.0,112.0,-0.008518337970599532,-0.008439611992798746,0.00015754846208437812,0.01574993215035647,-7.132533914955275e-05,0.0,,,,
