iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,71.0,-0.016690442562103253,0.0,nan,16.0,284.0,-0.017761296592652798,0.02089131040044201,1.0,0.0,0.0,0.25,0.0,0.26031482219696045,-0.10026997327804565,6.391147740767337,5.0,1.0,88.0,0.13574916839599618
2.0,200.0,14.121684139594437,0.25,nan,44.0,800.0,6.815403938293457,0.011053775495575291,,,,,,,,,,,,
3.0,45.0,0.05118507668375979,0.0,nan,12.0,180.0,-0.01613338803872466,0.02732784453036143,,,,,,,,,,,,
4.0,200.0,5.603943594917653,0.25,nan,40.0,800.0,2.065640151500702,0.02269049625373465,,,,,,,,,,,,
5.0,200.0,0.6764374632388359,0.25,nan,40.0,800.0,0.12214719317853451,0.02926285549089691,,,,,,,,,,,,
6.0,118.0,0.38206661164760564,0.0,nan,24.0,472.0,0.09411384724080563,0.039655865499140575,,,,,,,,,,,,
7.0,200.0,26.956135483685657,0.5,nan,40.0,800.0,33.197171211242676,0.021727515363587635,,,,,,,,,,,,
8.0,151.0,-0.44749543204903613,0.0,nan,32.0,604.0,0.19051238149404526,0.013096713663809822,,,,,,,,,,,,
9.0,200.0,9.186258159554562,0.75,nan,40.0,800.0,9.163068294525146,0.016521529160311133,,,,,,,,,,,,
10.0,200.0,32.86105100912684,0.75,nan,40.0,800.0,30.709705352783203,0.03416937524092423,,,,,,,,,,,,
11.0,200.0,30.674296063603848,0.5,nan,44.0,800.0,12.084952592849731,0.011527450834258879,,,,,,,,,,,,
12.0,147.0,2.470893277525902,0.25,nan,32.0,588.0,1.4635794460773468,0.022521010652095885,,,,,,,,,,,,
13.0,200.0,17.18742767646909,0.5,nan,40.0,800.0,14.33970332145691,0.007558223393363761,,,,,,,,,,,,
14.0,200.0,20.70203700615094,0.5,nan,40.0,800.0,44.46533489227295,0.007407005703499392,,,,,,,,,,,,
15.0,65.0,-0.055131328105926414,0.0,nan,16.0,260.0,0.2249550186097622,0.0200092928611304,,,,,,,,,,,,
16.0,52.0,-0.021636493206024093,0.0,nan,12.0,208.0,-0.02094680769369006,0.015704934232103958,,,,,,,,,,,,
17.0,188.0,34.700271822330556,1.0,nan,40.0,752.0,30.66766119003296,0.022192953156837447,,,,,,,,,,,,
18.0,91.0,-0.03694336175918586,0.0,nan,20.0,364.0,0.15311839431524277,0.01781711241623718,,,,,,,,,,,,
19.0,200.0,21.815416217193707,0.75,nan,40.0,800.0,15.741397380828857,0.01959327775887587,,,,,,,,,,,,
20.0,200.0,15.111826874176048,0.25,nan,40.0,800.0,43.08761787414551,0.014952521998456536,1.0,0.0,0.25,0.0,0.25,0.47947928309440613,0.008518218994140625,12.275307041185442,10.0,1.0,200.0,21.864624311460652
21.0,200.0,31.819658488233117,0.75,nan,44.0,800.0,11.474008083343506,0.018663693419255445,,,,,,,,,,,,
22.0,200.0,40.461781184701266,0.75,nan,40.0,800.0,50.004722595214844,0.01541188846697672,,,,,,,,,,,,
23.0,200.0,45.45720841758302,0.75,nan,44.0,800.0,19.304099082946777,0.010846778486186537,,,,,,,,,,,,
24.0,200.0,2.699792507058009,0.25,nan,40.0,800.0,4.319714069366455,0.01004887138362065,,,,,,,,,,,,
25.0,200.0,20.343322306731718,0.75,nan,40.0,800.0,11.249274730682373,0.024321843910353635,,,,,,,,,,,,
26.0,150.0,0.011270295083522498,0.0,nan,32.0,600.0,0.08229338936507702,0.032156833964947396,,,,,,,,,,,,
27.0,200.0,46.438112394628135,0.5,nan,44.0,800.0,18.457703590393066,0.00568668940514705,,,,,,,,,,,,
28.0,200.0,30.052075903653172,0.5,nan,40.0,800.0,13.722499370574951,0.02547229720057942,,,,,,,,,,,,
29.0,186.0,38.66360525116092,1.0,nan,40.0,744.0,13.246747970581055,0.00868026075801076,,,,,,,,,,,,
30.0,200.0,26.283715318562464,0.75,nan,40.0,800.0,8.9999520778656,0.018339529151453204,,,,,,,,,,,,
31.0,200.0,33.05004795792921,0.5,nan,40.0,800.0,31.71654987335205,0.017866388424561563,,,,,,,,,,,,
32.0,200.0,13.214087329525501,0.75,nan,40.0,800.0,14.960310697555542,0.011077108572499106,,,,,,,,,,,,
33.0,200.0,9.494201059429905,0.5,nan,40.0,800.0,4.636690974235535,0.00820537929084253,,,,,,,,,,,,
34.0,133.0,0.49616551592946034,0.0,nan,28.0,532.0,0.20630710199475288,0.011951077033075741,,,,,,,,,,,,
35.0,200.0,13.868664085771892,0.25,nan,40.0,800.0,16.10770273208618,0.053134014612481906,,,,,,,,,,,,
36.0,200.0,1.301477763801813,0.25,nan,40.0,800.0,1.7879517674446106,0.016366901384156307,,,,,,,,,,,,
37.0,192.0,5.101012473851442,0.75,nan,40.0,768.0,4.9093605279922485,0.017476089972239706,,,,,,,,,,,,
38.0,74.0,-0.30018785834312445,0.0,nan,16.0,296.0,0.32558639347553253,0.01939426153305268,,,,,,,,,,,,
39.0,200.0,14.79320371695794,0.5,nan,40.0,800.0,11.528101444244385,0.03401634010391774,,,,,,,,,,,,
40.0,55.0,-0.2816435307264328,0.0,nan,12.0,220.0,0.33785752207040787,0.04495675980861878,1.0,0.0,0.0,0.0,0.0,0.7100098133087158,0.8739891052246094,15.170828190384782,10.0,1.0,200.0,0.24114926084876004
41.0,200.0,45.67438428341411,0.75,nan,40.0,800.0,67.63615798950195,0.009363370875709265,,,,,,,,,,,,
42.0,200.0,1.795843700319528,0.25,nan,40.0,800.0,0.37148573994636536,0.04882057500313408,,,,,,,,,,,,
43.0,168.0,19.103625534828744,0.25,nan,36.0,672.0,9.508543252944946,0.02428830394896586,,,,,,,,,,,,
44.0,39.0,-0.3866806530952453,0.0,nan,8.0,156.0,0.12128877639770508,0.05893545327690402,,,,,,,,,,,,
45.0,200.0,15.260341582819816,1.0,nan,40.0,800.0,11.135424375534058,0.015798440836034544,,,,,,,,,,,,
46.0,136.0,0.472167803496122,0.0,nan,28.0,544.0,0.17689957469701767,0.04477360133877184,,,,,,,,,,,,
47.0,190.0,2.224702342413366,0.25,nan,40.0,760.0,0.2994298040866852,0.03550824037632916,,,,,,,,,,,,
48.0,186.0,4.89656479857862,0.5,nan,40.0,744.0,6.3402087688446045,0.025494619144579067,,,,,,,,,,,,
49.0,200.0,18.72015094154049,0.5,nan,48.0,800.0,5.620074510574341,0.014329502074115652,,,,,,,,,,,,
50.0,173.0,1.5500907006487252,0.25,nan,36.0,692.0,1.181406408548355,0.026259353354221027,,,,,,,,,,,,
51.0,200.0,27.933402975974612,0.5,nan,40.0,800.0,9.948548555374146,0.021643723832553974,,,,,,,,,,,,
52.0,52.0,0.05657976150512696,0.0,nan,12.0,208.0,0.051739766262471676,0.026904545433138145,,,,,,,,,,,,
53.0,41.0,1.156622018069029,0.25,nan,12.0,164.0,0.7547503560781479,0.02946039262216312,,,,,,,,,,,,
54.0,200.0,23.9586585046258,0.5,nan,40.0,800.0,8.481014013290405,0.012447672883666883,,,,,,,,,,,,
55.0,200.0,49.88652109918187,0.75,nan,44.0,800.0,25.349794387817383,0.020717579886500248,,,,,,,,,,,,
56.0,168.0,0.06598159343004222,0.0,nan,36.0,672.0,0.2457633800804615,0.014893025978675922,,,,,,,,,,,,
57.0,116.0,-0.3629242873191833,0.0,nan,24.0,464.0,0.2184758260846138,0.04030146029791837,,,,,,,,,,,,
58.0,200.0,2.451354924589396,0.25,nan,40.0,800.0,1.4446253776550293,0.03263089831600041,,,,,,,,,,,,
59.0,200.0,-0.601743230223656,0.0,nan,44.0,800.0,0.23315497487783432,0.0293410507853622,,,,,,,,,,,,
60.0,200.0,23.748954757454342,0.75,nan,44.0,800.0,12.557233333587646,0.015923395107449778,1.0,0.0,0.5,0.0,0.5,1.516274333000183,3.2210240364074707,10.765172974744928,12.0,1.0,200.0,25.751763377827594
61.0,200.0,24.161643646028832,0.5,nan,40.0,800.0,28.07061004638672,0.018319180830100867,,,,,,,,,,,,
62.0,114.0,0.945422259941697,0.25,nan,24.0,456.0,0.5114414691925049,0.021844934751289458,,,,,,,,,,,,
63.0,77.0,0.08706384330987921,0.0,nan,16.0,308.0,0.07045808248221874,0.03577631872235543,,,,,,,,,,,,
64.0,200.0,25.16395107336576,0.5,nan,40.0,800.0,13.938835144042969,0.023176603850369237,,,,,,,,,,,,
65.0,132.0,16.177649438865483,0.25,nan,28.0,528.0,25.636652946472168,0.010825271733671649,,,,,,,,,,,,
66.0,122.0,-0.40427845090627657,0.25,nan,28.0,488.0,0.3800142630934715,0.04852252326992801,,,,,,,,,,,,
67.0,95.0,0.5636906158179043,0.25,nan,20.0,380.0,0.6503214240074158,0.01749237898698297,,,,,,,,,,,,
68.0,132.0,0.2505769762396812,0.0,nan,28.0,528.0,0.6363824903964996,0.05652243275184787,,,,,,,,,,,,
69.0,49.0,0.11599803924560555,0.0,nan,12.0,196.0,0.24346743896603584,0.018858128473933606,,,,,,,,,,,,
70.0,200.0,13.246043682843448,0.5,nan,40.0,800.0,9.75121808052063,0.03691215517658364,,,,,,,,,,,,
71.0,102.0,0.24526603400707217,0.0,nan,24.0,408.0,0.41089197248220444,0.022788754611045903,,,,,,,,,,,,
72.0,93.0,0.1370796930789947,0.0,nan,20.0,372.0,0.9307226091623306,0.06417778779239214,,,,,,,,,,,,
73.0,200.0,20.01442870174069,0.75,nan,40.0,800.0,27.483299732208252,0.017562318603157934,,,,,,,,,,,,
74.0,200.0,8.37954080328345,0.5,nan,40.0,800.0,8.9221031665802,0.02118319693457238,,,,,,,,,,,,
75.0,146.0,5.62444296271773,0.25,nan,32.0,584.0,10.124106884002686,0.032286949916397134,,,,,,,,,,,,
76.0,66.0,2.835588792301714,0.25,nan,16.0,264.0,3.147074282169342,0.0375588467441923,,,,,,,,,,,,
77.0,79.0,-0.12164480924606313,0.0,nan,16.0,316.0,0.16606995463371277,0.04245078100265298,,,,,,,,,,,,
78.0,200.0,8.817813193937763,0.5,nan,40.0,800.0,8.027878403663635,0.021439879087751024,,,,,,,,,,,,
79.0,93.0,-0.18862133502960193,0.0,nan,20.0,372.0,0.44106190651655197,0.021096905884453676,,,,,,,,,,,,
80.0,52.0,0.11738273233175281,0.0,nan,12.0,208.0,0.2785458639264107,0.08271773016069627,1.0,0.0,0.0,0.25,0.0,4.648123264312744,-0.015218555927276611,10.562167667325411,8.0,1.0,141.0,0.11875078245997417
81.0,85.0,-0.5861603975296021,0.0,nan,20.0,340.0,0.34009867906570435,0.02853330716895286,,,,,,,,,,,,
82.0,95.0,0.3562242060899733,0.0,nan,20.0,380.0,0.16228950768709183,0.034490274902495344,,,,,,,,,,,,
83.0,200.0,4.084145324863493,0.5,nan,40.0,800.0,3.790833532810211,0.023571594204477186,,,,,,,,,,,,
84.0,79.0,2.947908070953563,0.25,nan,16.0,316.0,6.617636322975159,0.07145871066691711,,,,,,,,,,,,
85.0,200.0,24.18463291253429,0.5,nan,44.0,800.0,9.433642625808716,0.011456458200068909,,,,,,,,,,,,
86.0,161.0,17.940567209941804,0.5,nan,36.0,644.0,5.6876137256622314,0.026465136007815637,,,,,,,,,,,,
87.0,107.0,0.6316464352607727,0.0,nan,24.0,428.0,0.3365788161754608,0.04193246136436546,,,,,,,,,,,,
88.0,57.0,0.027501343488693264,0.0,nan,12.0,228.0,0.19670992344617844,0.08770383006870026,,,,,,,,,,,,
89.0,200.0,0.16172569096088335,0.0,nan,40.0,800.0,0.24673748388886452,0.04388485414537513,,,,,,,,,,,,
90.0,156.0,-0.2471795877814295,0.0,nan,32.0,624.0,0.4070803374052048,0.02848464717499155,,,,,,,,,,,,
91.0,200.0,39.221587869338705,0.75,nan,40.0,800.0,16.001479148864746,0.011684600824303004,,,,,,,,,,,,
92.0,200.0,6.303124695038422,0.25,nan,40.0,800.0,1.5313009917736053,0.03360599037649692,,,,,,,,,,,,
93.0,143.0,4.355250727715902,0.25,nan,32.0,572.0,7.410691499710083,0.030566476423761202,,,,,,,,,,,,
94.0,200.0,21.31821651485516,0.75,nan,40.0,800.0,44.52279853820801,0.01583612177495297,,,,,,,,,,,,
95.0,200.0,2.4228863647673267,0.5,nan,40.0,800.0,1.926715910434723,0.021360724106134654,,,,,,,,,,,,
96.0,71.0,0.09214869976043716,0.0,nan,16.0,284.0,0.08984018862247467,0.05573429880464609,,,,,,,,,,,,
97.0,200.0,39.78598138750676,0.5,nan,40.0,800.0,16.184990406036377,0.060603571424138636,,,,,,,,,,,,
98.0,200.0,0.2946514949202535,0.0,nan,40.0,800.0,0.39612463116645813,0.051854145694376186,,,,,,,,,,,,
99.0,133.0,0.39407021522521957,0.0,nan,28.0,532.0,0.30890145152807236,0.0868943549845369,,,,,,,,,,,,
100.0,189.0,2.6656234193965793,0.25,nan,40.0,756.0,1.932926595211029,0.055023681344408715,1.0,0.0,0.0,0.25,0.0,2.0282790660858154,-0.15131187438964844,7.904977407655679,5.0,1.0,83.0,0.3142432045936583
101.0,137.0,0.1460321027040481,0.0,nan,28.0,548.0,0.4689945802092552,0.026263296656393043,,,,,,,,,,,,
102.0,200.0,40.73475718958072,0.75,nan,40.0,800.0,26.945366859436035,0.013715885312070797,,,,,,,,,,,,
103.0,200.0,39.647578753670686,0.75,nan,48.0,800.0,15.317190885543823,0.010099486579084882,,,,,,,,,,,,
104.0,200.0,20.327646770782312,0.75,nan,40.0,800.0,11.384665250778198,0.011562522160814437,,,,,,,,,,,,
105.0,75.0,-0.058893680572509544,0.0,nan,16.0,300.0,0.42275286465883255,0.027658699736842873,,,,,,,,,,,,
106.0,159.0,2.4409017783030857,0.25,nan,32.0,636.0,0.4460926577448845,0.028952757784760585,,,,,,,,,,,,
107.0,200.0,10.191545616742223,0.5,nan,40.0,800.0,10.266241550445557,0.03802547325589245,,,,,,,,,,,,
108.0,112.0,-0.7233722072839737,0.0,nan,24.0,448.0,0.5742107033729553,0.04608817809986476,,,,,,,,,,,,
109.0,200.0,28.10977107523942,0.75,nan,44.0,800.0,16.82486057281494,0.016074633180839015,,,,,,,,,,,,
110.0,200.0,7.6100209656869975,0.25,nan,44.0,800.0,3.452212691307068,0.034889759939252585,,,,,,,,,,,,
111.0,61.0,0.13687469154596324,0.0,nan,16.0,244.0,0.40311387181282043,0.051497410731640304,,,,,,,,,,,,
112.0,200.0,52.34684893679806,0.75,nan,40.0,800.0,30.53568124771118,0.038308071291424994,,,,,,,,,,,,
113.0,100.0,0.23003132045268995,0.0,nan,20.0,400.0,0.41193535178899765,0.07880483951892536,,,,,,,,,,,,
114.0,65.0,0.191849422454834,0.0,nan,16.0,260.0,0.07683508470654488,0.038472774331921755,,,,,,,,,,,,
115.0,120.0,8.914183332095853,0.0,nan,24.0,480.0,3.7601176500320435,0.05081439106075436,,,,,,,,,,,,
116.0,200.0,20.949724215749306,0.75,nan,44.0,800.0,6.741100311279297,0.058445621220272415,,,,,,,,,,,,
117.0,107.0,0.4743861782550812,0.0,nan,24.0,428.0,0.3090105652809143,0.0607287726238539,,,,,,,,,,,,
118.0,200.0,24.20614691956435,0.5,nan,40.0,800.0,9.216008186340332,0.03425045222289924,,,,,,,,,,,,
119.0,200.0,26.19994793000515,0.5,nan,40.0,800.0,17.332826614379883,0.048709067436931264,,,,,,,,,,,,
120.0,71.0,0.1215699815750122,0.0,nan,16.0,284.0,0.14727244153618813,0.07995007359201622,1.0,0.0,0.25,0.25,0.25,1.1596696376800537,-0.0023713111877441406,8.91292915881786,6.0,1.0,114.0,0.960796029344201
121.0,143.0,18.821208004305955,1.0,nan,32.0,572.0,9.921634197235107,0.026142875776828944,,,,,,,,,,,,
122.0,51.0,-0.07611140966415397,0.0,nan,12.0,204.0,0.21670101210474968,0.05475550784919559,,,,,,,,,,,,
123.0,200.0,35.65171373954509,0.75,nan,40.0,800.0,24.26404619216919,0.012891907931564361,,,,,,,,,,,,
124.0,177.0,53.64170585458169,1.0,nan,36.0,708.0,31.48907470703125,0.017611192227992234,,,,,,,,,,,,
125.0,88.0,0.016495556831359698,0.0,nan,20.0,352.0,0.29558195173740387,0.06081442438448903,,,,,,,,,,,,
126.0,66.0,0.042080123871564956,0.0,nan,16.0,264.0,0.49205025285482407,0.059936007668227376,,,,,,,,,,,,
127.0,200.0,23.650661504757593,0.5,nan,44.0,800.0,14.922942161560059,0.071788996585326,,,,,,,,,,,,
128.0,102.0,-0.10995644841343169,0.0,nan,24.0,408.0,0.8339255452156067,0.045087661692321035,,,,,,,,,,,,
129.0,200.0,54.55416922140286,0.75,nan,48.0,800.0,27.405715942382812,0.012255391443407149,,,,,,,,,,,,
130.0,114.0,0.5485892570018764,0.0,nan,24.0,456.0,0.72621950507164,0.07203399022390045,,,,,,,,,,,,
131.0,123.0,3.961038946248591,0.25,nan,28.0,492.0,2.413020431995392,0.05346376112265716,,,,,,,,,,,,
132.0,120.0,1.09057651180774,0.25,nan,24.0,480.0,2.2446970343589783,0.09721590026390459,,,,,,,,,,,,
133.0,140.0,2.9922228418290615,0.25,nan,28.0,560.0,2.0856377482414246,0.025562517105640836,,,,,,,,,,,,
134.0,200.0,30.663952853577218,0.5,nan,44.0,800.0,17.103219032287598,0.03751671565907699,,,,,,,,,,,,
135.0,200.0,0.4869947986677281,0.0,nan,40.0,800.0,0.5538416504859924,0.05347458936445193,,,,,,,,,,,,
136.0,200.0,42.62826598422255,0.75,nan,40.0,800.0,15.537740707397461,0.015371840849540241,,,,,,,,,,,,
137.0,78.0,0.32457880496978764,0.0,nan,16.0,312.0,0.22302911430597305,0.03944558863395997,,,,,,,,,,,,
138.0,200.0,36.23344217809499,0.75,nan,40.0,800.0,24.0680251121521,0.04451718864503107,,,,,,,,,,,,
139.0,68.0,0.27907780081033706,0.0,nan,16.0,272.0,0.44038254022598267,0.04700383249698348,,,,,,,,,,,,
140.0,200.0,4.758702752459794,0.25,nan,40.0,800.0,0.7058353275060654,0.02735156949671591,1.0,0.0,0.5,0.0,0.5,0.6207265853881836,0.8777179718017578,15.349760964680172,10.0,1.0,200.0,5.974074324686079
141.0,200.0,47.43639917328255,0.75,nan,44.0,800.0,16.76888418197632,0.010996862270904906,,,,,,,,,,,,
142.0,149.0,19.37187371215783,0.75,nan,32.0,596.0,8.07165277004242,0.02059417440319189,,,,,,,,,,,,
143.0,98.0,6.864088424497749,0.25,nan,20.0,392.0,3.0158013105392456,0.0816084150851566,,,,,,,,,,,,
144.0,105.0,0.12576831057667726,0.0,nan,24.0,420.0,1.0654882788658142,0.05615110320695749,,,,,,,,,,,,
145.0,200.0,34.91674183290452,0.75,nan,40.0,800.0,13.183544158935547,0.020037643881866574,,,,,,,,,,,,
146.0,109.0,4.89060873299837,0.25,nan,24.0,436.0,2.4122904539108276,0.024478703546743752,,,,,,,,,,,,
147.0,200.0,29.86813185482171,0.75,nan,40.0,800.0,11.402361631393433,0.03628850935401218,,,,,,,,,,,,
148.0,31.0,-0.375558785200119,0.0,nan,8.0,124.0,0.3904835060238838,0.054449839274785784,,,,,,,,,,,,
149.0,24.0,-0.1601419115066528,0.0,nan,8.0,96.0,0.7937210500240326,0.08544046540570586,,,,,,,,,,,,
150.0,56.0,0.5027355337142944,0.0,nan,12.0,224.0,0.2793903201818466,0.027578971539323253,,,,,,,,,,,,
151.0,59.0,0.18799515277147283,0.0,nan,12.0,236.0,0.5616221874952316,0.027823844363942724,,,,,,,,,,,,
152.0,104.0,1.0484314298629762,0.0,nan,24.0,416.0,0.36514879018068314,0.02788145745635795,,,,,,,,,,,,
153.0,103.0,0.07254103615879981,0.0,nan,24.0,412.0,0.9128662645816803,0.025730682586498688,,,,,,,,,,,,
154.0,167.0,8.443732143957165,0.5,nan,36.0,668.0,6.582633972167969,0.022666038806555378,,,,,,,,,,,,
155.0,200.0,41.29061211331285,0.75,nan,40.0,800.0,18.285161018371582,0.012729460088579003,,,,,,,,,,,,
