iteration,episode_return_mean,train_team_success_rate,train_agent_success_rate,train_collision_rate,high_samples,loss_high_total,loss_high_actor,loss_high_value,high_entropy,high_approx_kl,high_clip_frac,high_entropy_coef,eval_episode_return_mean,eval_team_success_rate,eval_agent_success_rate,eval_collision_rate
1.0,-2.3953188668191427,0.0,0.0,0.3125,848.0,0.18686866041805061,0.03233640436415693,0.46865915826388765,1.5959464567048207,0.2652988616111023,0.3150111607142857,0.05,-2.4533896434307096,0.0,0.0,0.5
2.0,-2.050926520824432,0.0,0.0,0.40625,789.0,0.09813177685898085,0.043659293898739494,0.26617048623470163,1.5740566689234514,0.3142519326737294,0.3249055640055583,0.049942775393419174,,,,
3.0,-2.145565995369106,0.0,0.0,0.21875,946.0,0.02677216331164042,0.031152360901857416,0.14504340800146262,1.5415666143099467,0.278245222568512,0.2851145833730698,0.049885550786838345,,,,
4.0,-2.02768669731915,0.0,0.0,0.375,828.0,0.01882339548319578,0.04189307243527415,0.10337184799405245,1.5002631888939786,0.3088184248369474,0.324379006257424,0.049828326180257516,,,,
5.0,-1.7143023647367959,0.0,0.0,0.375,843.0,-0.032106576420898945,0.01662391663662025,0.049993839281212,1.4813297412225177,0.3646411933004856,0.3870484988604273,0.04977110157367668,,,,
6.0,-1.7280299136042592,0.0,0.0,0.5625,694.0,0.020964816551316868,0.044050728351893755,0.10173532823947343,1.4875842034816742,0.2807157642462037,0.36934448710896756,0.04971387696709585,,,,
7.0,-1.7818039111047983,0.0,0.0,0.34375,823.0,0.004087635387594883,0.03388922905119566,0.08436085384052534,1.4495947017119482,0.27659592777490616,0.3373251746480282,0.04965665236051502,,,,
8.0,-1.7769085367023947,0.0,0.0,0.40625,827.0,0.03211487987293647,0.039227565607199304,0.12725537857757166,1.4262336928110857,0.24862891980088675,0.30749877800162023,0.049599427753934194,,,,
9.0,-1.4691742342710497,0.0,0.0,0.4375,746.0,0.02593674378780027,0.037129378790268674,0.11328343100224932,1.369223522643248,0.3018570877611637,0.3367745541036129,0.049542203147353366,,,,
10.0,-1.757423503100872,0.0,0.0,0.375,854.0,0.029149821028113365,0.04339414011753563,0.09953343495726585,1.2935447501284736,0.297645471191832,0.3627485803195408,0.04948497854077254,,,,
11.0,-1.6305169683694845,0.0,0.0,0.28125,918.0,0.014645415109892685,0.0365289255976677,0.07762317595382531,1.2279557903607685,0.3087132359544436,0.38404356092214587,0.04942775393419171,,,,
12.0,-1.458353931605816,0.0,0.0,0.46875,804.0,0.01294369254117975,0.04098388088795428,0.06362134526268794,1.2122790698821728,0.289719409094407,0.35927484012567085,0.04937052932761087,,,,
13.0,-1.2150439395010473,0.0,0.0,0.5,734.0,0.009698861045762897,0.02399568997013072,0.09063943149521947,1.2089343219995499,0.3091883212327957,0.32944878563284874,0.049313304721030043,,,,
14.0,-1.349600214660168,0.0,0.0,0.5,710.0,-0.0005107978358864784,0.02357134741032496,0.06651026359759271,1.164064993460973,0.34814639617252396,0.32866753451526165,0.049256080114449215,,,,
15.0,-1.271069148629904,0.0,0.0,0.6875,592.0,0.0237673107534647,0.017267564218491318,0.12699227035045624,1.1584901124238969,0.25205097794532777,0.283984375,0.049198855507868386,,,,
16.0,-1.1062125398218634,0.0,0.0,0.65625,583.0,0.048388199973851444,0.04041514584096149,0.1279135235119611,1.1392317831516265,0.31141036758199336,0.32628348357975484,0.04914163090128756,,,,
17.0,-1.3047755274176602,0.0,0.0,0.34375,850.0,0.041107300469385724,0.044225550148569576,0.10186624048011643,1.1011922934225626,0.3816037843269961,0.35187252025519095,0.04908440629470673,,,,
18.0,-1.2950533840060237,0.0,0.0,0.53125,738.0,0.014252800416822234,0.031731358205433935,0.07607267439986268,1.1323289175828297,0.2950180652551353,0.36870021497209865,0.0490271816881259,,,,
19.0,-1.4942844639718535,0.0,0.0,0.375,824.0,0.01905866189358326,0.041833344112651855,0.0621360821935993,1.0995051998358507,0.32958867486852866,0.3368818685412407,0.048969957081545064,,,,
20.0,-1.2869728630781174,0.0,0.0,0.375,809.0,0.019140646291466862,0.031039590338388316,0.08102683085375108,1.0715483679221227,0.3462270312011242,0.3153069300147203,0.048912732474964235,-1.032834851741791,0.0,0.0,0.625
21.0,-1.1868875209987164,0.0,0.0,0.5,733.0,0.03070804534945637,0.04056185505275304,0.0870300563207517,1.092381161948045,0.3143788864836097,0.3201329025129477,0.048855507868383406,,,,
22.0,-1.0501754835247996,0.0,0.0,0.5625,670.0,0.03009652905166149,0.034719159149310806,0.0915944574570114,1.033230184154077,0.3055803051049059,0.3368134478276426,0.04879828326180258,,,,
23.0,-0.8331000055372715,0.0,0.0,0.5625,683.0,0.045249432494694534,0.03176201598464765,0.12505770508538594,1.0061627314849333,0.34959968010132964,0.31136859208345413,0.04874105865522175,,,,
24.0,-1.0485093699395662,0.0,0.0,0.4375,782.0,0.02830144920601295,0.020645129279448438,0.11503715526599151,1.0242056892468379,0.3853390795680193,0.3609203297931415,0.04868383404864092,,,,
25.0,-0.9911069805920126,0.0,0.0,0.4375,794.0,0.012887339250972638,0.023423003176083933,0.0746242690544862,0.9839838582735796,0.2991583797221001,0.30038831411645966,0.04862660944206009,,,,
26.0,-0.993206309080124,0.0,0.0,0.5625,669.0,0.0040526004000143575,0.011403253217312424,0.07466937381435525,0.9200309921394695,0.2760564461350441,0.2877400080588731,0.048569384835479255,,,,
27.0,-1.1855288235843184,0.0,0.0,0.125,1074.0,0.06004966444828931,0.04270392481018515,0.12343702618690097,0.9146732013015186,0.362758449771825,0.30425551446045146,0.04851216022889843,,,,
28.0,-0.962520564645529,0.0,0.0,0.3125,895.0,0.04924576213982488,0.03885683779870825,0.11071009308631931,0.9279987822685922,0.32038416607039316,0.318757972280894,0.0484549356223176,,,,
29.0,-0.8654908706247809,0.0,0.0,0.125,1094.0,0.04849076757414473,0.03763101533210526,0.11239242739975452,0.9367480377356211,0.2833978754416522,0.29593460696438945,0.04839771101573677,,,,
30.0,-0.815858193933964,0.0,0.0,0.3125,934.0,0.04114120335628589,0.025254474983861047,0.11945794752488534,0.9069466859102249,0.234001017237703,0.31684484630823134,0.04834048640915594,,,,
31.0,-0.862690330296755,0.0,0.0,0.5625,670.0,0.03667453507130796,0.033876601098613304,0.09002701489424164,0.8743314458565279,0.226411632346836,0.2846827656030655,0.04828326180257511,,,,
32.0,-0.5094688883423807,0.0,0.0,0.3125,923.0,0.05813190639019012,0.031522413219014805,0.13583050991098086,0.8565033743778865,0.249450325841705,0.30770640472571054,0.04822603719599428,,,,
33.0,-0.5545030646026134,0.0,0.0,0.25,990.0,0.04511754825944081,0.01233804070216138,0.14633352332748473,0.8384523689746857,0.26368343480862677,0.31788737047463655,0.048168812589413454,,,,
34.0,-0.2327911436557769,0.0,0.0,0.3125,919.0,0.05862879939377308,0.018092403925644856,0.1615619567533334,0.836484196782112,0.26830305581291514,0.28577898542086283,0.04811158798283262,,,,
35.0,-0.5543647873401644,0.0,0.0,0.4375,817.0,0.05742276255757763,0.033158816110629305,0.12650550128175664,0.8113478296078169,0.23200498736248568,0.26950672096931017,0.04805436337625179,,,,
36.0,-0.7044106858968738,0.0,0.0,0.3125,930.0,0.0417524013047417,0.024395925869854788,0.11097809504717589,0.794475934902827,0.22520357283453146,0.2676623781522115,0.04799713876967096,,,,
37.0,-0.4271276742219928,0.0,0.0,0.0,1226.0,0.01161996927112341,-0.0035431894764769824,0.11096103969030083,0.8409977562725545,0.22426162278279663,0.32515625040978197,0.04793991416309013,,,,
38.0,-0.6584795501828196,0.0,0.0,0.3125,945.0,0.02245596529295047,0.013658148578057687,0.09691536035388708,0.8282713949680328,0.19856138651569685,0.2589126278956731,0.0478826895565093,,,,
39.0,-0.6271328987181188,0.0625,0.0625,0.375,835.0,0.05500020845127957,-0.018084109827343906,0.2258727634990854,0.8332812690309115,0.17098305111617915,0.24823288725955145,0.047825464949928474,,,,
40.0,-0.6663828536868097,0.0,0.0,0.3125,934.0,0.024350484057019155,0.00842196394999822,0.11212790322800477,0.8402116576830546,0.18190640173852443,0.28303179865082106,0.047768240343347645,-0.5910343593358995,0.0,0.0,0.375
