iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,108.0,-0.35702237218618404,0.0,nan,24.0,432.0,0.13897996954619884,0.021056701545519196,1.0,0.0,0.0,0.0,0.0,1.330320119857788,0.13902199268341064,14.782303975720424,10.0,1.0,200.0,0.19232487976550977
2.0,75.0,0.10159054994583142,0.0,nan,16.0,300.0,0.02053591050207615,0.048067774799605445,,,,,,,,,,,,
3.0,200.0,7.747926731221378,0.25,nan,40.0,800.0,3.8748581409454346,0.029018915320930816,,,,,,,,,,,,
4.0,200.0,-0.5035602211952215,0.0,nan,44.0,800.0,0.06948281452059746,0.046667128751222364,,,,,,,,,,,,
5.0,193.0,-0.17933455586433475,0.0,nan,40.0,772.0,0.06517829559743404,0.022682991993654866,,,,,,,,,,,,
6.0,60.0,-0.20389599129557612,0.0,nan,12.0,240.0,0.03480559028685093,0.02833878885752862,,,,,,,,,,,,
7.0,200.0,25.063267369382086,0.5,nan,40.0,800.0,22.892606735229492,0.05579081587749801,,,,,,,,,,,,
8.0,71.0,-0.12495530605316159,0.0,nan,16.0,284.0,0.24917371198534966,0.021893007620418077,,,,,,,,,,,,
9.0,113.0,0.4976125818490981,0.0,nan,24.0,452.0,0.08958431705832481,0.020008171410594855,,,,,,,,,,,,
10.0,70.0,0.15487427711486818,0.0,nan,16.0,280.0,0.0389333232305944,0.009972496225968186,,,,,,,,,,,,
11.0,200.0,16.432901886571198,0.75,nan,40.0,800.0,23.192091464996338,0.012689871532730379,,,,,,,,,,,,
12.0,143.0,7.0906344277365125,0.25,nan,32.0,572.0,3.3653454184532166,0.01771785441142182,,,,,,,,,,,,
13.0,98.0,-0.06936452269554128,0.0,nan,20.0,392.0,-0.014374613761901855,0.014751635813503361,,,,,,,,,,,,
14.0,115.0,-0.017439945042133337,0.0,nan,24.0,460.0,0.031074881087988615,0.025881807940535295,,,,,,,,,,,,
15.0,78.0,0.27331871509551997,0.0,nan,16.0,312.0,-0.04301904374733567,0.019258728392371083,,,,,,,,,,,,
