iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
45.0,51.0,0.7209535043314099,0.25,nan,12.0,204.0,1.0102902948856354,0.07340784053739673,,,,,,,,,,,,
46.0,197.0,28.27097597026267,1.0,nan,40.0,788.0,10.882136344909668,0.017967179225170327,,,,,,,,,,,,
47.0,200.0,9.233773497742366,0.75,nan,40.0,800.0,5.155415773391724,0.016871597248528047,,,,,,,,,,,,
48.0,200.0,26.853197084309066,0.75,nan,40.0,800.0,55.83225727081299,0.024169517974305776,,,,,,,,,,,,
49.0,72.0,0.07136104583740233,0.0,nan,16.0,288.0,0.17706314474344254,0.02234811966175343,,,,,,,,,,,,
50.0,36.0,-0.001784906387329116,0.0,nan,8.0,144.0,0.20788856595754623,0.022799503030321314,1.0,0.0,0.0,0.25,0.0,0.40972205996513367,0.4060717821121216,12.144147220184095,6.0,1.0,115.0,0.28277115821838417
51.0,40.0,-0.10395087003707883,0.0,nan,12.0,160.0,0.21651557832956314,0.01083660053243012,,,,,,,,,,,,
52.0,37.0,-0.08157714575529096,0.0,nan,8.0,148.0,0.1722651720046997,0.008846730214664362,,,,,,,,,,,,
53.0,200.0,54.271585710370005,0.75,nan,44.0,800.0,27.54681396484375,0.013845792985981653,,,,,,,,,,,,
54.0,118.0,4.128676056750118,0.25,nan,24.0,472.0,7.453351020812988,0.03693404715571802,,,,,,,,,,,,
55.0,200.0,38.52123398897238,0.75,nan,44.0,800.0,12.786651372909546,0.019204632637517705,,,,,,,,,,,,
56.0,33.0,-0.09065724641084667,0.0,nan,8.0,132.0,0.2081724964082241,0.03650506755454416,,,,,,,,,,,,
57.0,106.0,0.8846587078273296,0.25,nan,24.0,424.0,0.22024789825081825,0.03945007255088373,,,,,,,,,,,,
58.0,72.0,0.0670355993509292,0.0,nan,16.0,288.0,0.3357498049736023,0.06330124669960924,,,,,,,,,,,,
59.0,200.0,30.79614264504054,0.5,nan,44.0,800.0,26.167264938354492,0.03183250546472216,,,,,,,,,,,,
60.0,113.0,1.3606487775035203,0.25,nan,24.0,452.0,0.3284421041607857,0.014277060314680234,1.0,0.0,0.0,0.25,0.0,1.370206356048584,1.1171910762786865,7.599554716260172,6.0,1.0,109.0,-0.1597237253189086
61.0,67.0,0.018000273704528835,0.0,nan,16.0,268.0,0.03990339953452349,0.02966955289097939,,,,,,,,,,,,
62.0,200.0,33.991120023489934,0.5,nan,44.0,800.0,29.100659370422363,0.01278866351045782,,,,,,,,,,,,
63.0,47.0,-0.03978960037231438,0.0,nan,12.0,188.0,0.5369826406240463,0.06577468565501476,,,,,,,,,,,,
64.0,125.0,0.4860652163624761,0.0,nan,28.0,500.0,0.3309032917022705,0.02592343321298607,,,,,,,,,,,,
65.0,59.0,-0.1317921423912048,0.0,nan,12.0,236.0,0.1019755806773901,0.030700238690865026,,,,,,,,,,,,
66.0,200.0,0.9378378953784702,0.25,nan,40.0,800.0,0.19198087602853775,0.017839403429448453,,,,,,,,,,,,
67.0,200.0,19.210061834170485,0.75,nan,44.0,800.0,3.7182844281196594,0.012115525973854346,,,,,,,,,,,,
68.0,87.0,0.8865608706325289,0.25,nan,20.0,348.0,0.10884987376630306,0.03404655528002065,,,,,,,,,,,,
69.0,37.0,0.44559016667306434,0.0,nan,8.0,148.0,0.16954940930008888,0.01982415588539683,,,,,,,,,,,,
70.0,187.0,65.6180696455948,1.0,nan,40.0,748.0,31.37730360031128,0.028889705036469593,1.0,0.0,0.0,0.25,0.0,6.4213480949401855,-0.07062208652496338,5.002719829673879,3.0,1.0,58.0,0.09923899888992316
71.0,200.0,34.274284120602545,0.75,nan,44.0,800.0,9.358471632003784,0.012478279722827779,,,,,,,,,,,,
72.0,27.0,-0.2447380018234253,0.0,nan,8.0,108.0,0.4845048487186432,0.1195395905576704,,,,,,,,,,,,
73.0,160.0,42.5229910515016,1.0,nan,32.0,640.0,19.002435207366943,0.0298543808110594,,,,,,,,,,,,
74.0,200.0,62.324782745848644,0.75,nan,48.0,800.0,19.025653839111328,0.020653145872921552,,,,,,,,,,,,
75.0,116.0,13.677192651908843,0.25,nan,24.0,464.0,11.293429374694824,0.0165222510798273,,,,,,,,,,,,
76.0,69.0,-0.4270072066783904,0.0,nan,16.0,276.0,0.6024288386106491,0.026694573757766182,,,,,,,,,,,,
77.0,110.0,19.116203931486233,1.0,nan,24.0,440.0,11.35246229171753,0.011593346535562432,,,,,,,,,,,,
78.0,77.0,0.6766993113979698,0.25,nan,16.0,308.0,0.26115304604172707,0.023236774094691492,,,,,,,,,,,,
79.0,195.0,24.088096882426186,0.5,nan,40.0,780.0,12.093517541885376,0.007118720136269019,,,,,,,,,,,,
80.0,200.0,39.982781629031535,0.5,nan,44.0,800.0,12.636998891830444,0.06463034967074854,1.0,0.0,0.0,0.25,0.0,3.8921616077423096,-0.13034415245056152,4.2866360190091655,3.0,1.0,51.0,0.06690075635910035
81.0,50.0,0.3343216016888619,0.0,nan,12.0,200.0,0.18046050518751144,0.045561573711420354,,,,,,,,,,,,
82.0,200.0,25.480733574600897,0.75,nan,40.0,800.0,16.518386363983154,0.03791512578798972,,,,,,,,,,,,
83.0,141.0,23.0278284669132,1.0,nan,32.0,564.0,7.510125279426575,0.021644483313795676,,,,,,,,,,,,
84.0,200.0,23.36121243988166,0.75,nan,40.0,800.0,7.668705940246582,0.020091151028310605,,,,,,,,,,,,
85.0,180.0,31.61449716873468,0.5,nan,40.0,720.0,9.57339334487915,0.03168942040254841,,,,,,,,,,,,
86.0,155.0,14.291360787674789,1.0,nan,32.0,620.0,6.412253499031067,0.05740978536157115,,,,,,,,,,,,
87.0,116.0,11.856572937450837,0.75,nan,24.0,464.0,12.352222204208374,0.039564947165729336,,,,,,,,,,,,
88.0,129.0,14.090839507980277,0.25,nan,28.0,516.0,6.812332510948181,0.02342251478654589,,,,,,,,,,,,
89.0,50.0,-0.25180167704820633,0.0,nan,12.0,200.0,0.9526938945055008,0.021276111479455722,,,,,,,,,,,,
90.0,140.0,7.836005306895823,1.0,0.0,28.0,560.0,10.79035210609436,0.019031055314822964,1.0,0.0,0.5,0.0,0.5,1.3210421800613403,0.08197444677352905,14.72910517010314,10.0,1.0,200.0,17.087845714366264
91.0,167.0,14.630904050609102,0.5,nan,36.0,668.0,25.674045085906982,0.041458259209441906,,,,,,,,,,,,
92.0,200.0,3.3965805397368953,0.75,nan,40.0,800.0,0.7611225843429565,0.03385441836047676,,,,,,,,,,,,
93.0,200.0,20.386050409125158,0.5,nan,40.0,800.0,10.03646993637085,0.01784831757313529,,,,,,,,,,,,
94.0,85.0,0.5282767932862041,0.25,nan,20.0,340.0,0.4996795207262039,0.04496734500992261,,,,,,,,,,,,
95.0,68.0,0.34117728963494265,0.0,nan,16.0,272.0,1.0647467374801636,0.05416273265409188,,,,,,,,,,,,
96.0,200.0,0.24836416244506815,0.0,nan,40.0,800.0,-0.0002230755053460598,0.03646510859066687,,,,,,,,,,,,
97.0,200.0,5.48409039666294,0.5,nan,44.0,800.0,6.345273971557617,0.03913329064937443,,,,,,,,,,,,
98.0,200.0,44.98078651584221,0.75,nan,44.0,800.0,13.681989431381226,0.016969297877167833,,,,,,,,,,,,
99.0,190.0,47.27353582126091,1.0,nan,44.0,760.0,11.290660858154297,0.0059645067479934255,,,,,,,,,,,,
100.0,200.0,29.185797128919514,0.5,0.0,44.0,800.0,18.385340213775635,0.015776161799898603,1.0,0.0,0.0,0.25,0.0,4.28400993347168,-0.19501501321792603,4.661665410269052,3.0,1.0,55.0,0.10018694400787356
101.0,200.0,41.33701136175079,0.75,nan,40.0,800.0,20.339166164398193,0.021614418706818572,,,,,,,,,,,,
102.0,61.0,0.26170450091361996,0.0,nan,16.0,244.0,0.3791899308562279,0.034369644670941404,,,,,,,,,,,,
103.0,200.0,11.528283273696433,0.75,nan,40.0,800.0,10.060123443603516,0.026033499232696045,,,,,,,,,,,,
104.0,200.0,24.826977742160675,0.75,nan,40.0,800.0,16.999372959136963,0.03373471156996288,,,,,,,,,,,,
105.0,164.0,54.63815190232359,1.0,nan,36.0,656.0,21.000467777252197,0.016874095589244575,,,,,,,,,,,,
106.0,200.0,17.386063687782737,0.25,nan,40.0,800.0,7.529231548309326,0.042284450403258234,,,,,,,,,,,,
107.0,49.0,0.1613993740081787,0.0,nan,12.0,196.0,0.7652545720338821,0.07670272636074069,,,,,,,,,,,,
108.0,200.0,59.10448247635506,0.75,nan,48.0,800.0,17.85184621810913,0.01841884621818224,,,,,,,,,,,,
109.0,200.0,69.56292608070075,0.75,nan,48.0,800.0,18.902423858642578,0.012015074912302026,,,,,,,,,,,,
110.0,200.0,17.26875414373353,0.5,0.0,48.0,800.0,4.060355007648468,0.036674417773482126,1.0,0.0,0.0,0.25,0.0,3.5494625568389893,-0.17530208826065063,4.378075772663578,3.0,1.0,51.0,0.08813472032546996
111.0,200.0,37.21758037019754,0.5,nan,44.0,800.0,13.225147724151611,0.01894587463853803,,,,,,,,,,,,
112.0,200.0,43.146948422206336,0.75,nan,40.0,800.0,18.5143723487854,0.01820844408796063,,,,,,,,,,,,
113.0,34.0,-0.2990796023607254,0.0,nan,8.0,136.0,0.6274236589670181,0.043629664565260635,,,,,,,,,,,,
114.0,117.0,-0.2797987718880178,0.0,nan,24.0,468.0,1.0081789642572403,0.05661812856505577,,,,,,,,,,,,
115.0,200.0,42.34662877846277,0.75,nan,40.0,800.0,56.56227684020996,0.010559854100019805,,,,,,,,,,,,
116.0,200.0,0.5696239834651357,0.0,nan,40.0,800.0,1.061876267194748,0.04036350585394288,,,,,,,,,,,,
117.0,200.0,18.5251012849505,0.75,nan,44.0,800.0,5.138965606689453,0.017394617485710695,,,,,,,,,,,,
118.0,153.0,11.082734056310725,0.5,nan,32.0,612.0,11.10287880897522,0.019714807317252614,,,,,,,,,,,,
119.0,200.0,39.532681794185194,0.5,nan,40.0,800.0,11.907172679901123,0.041441879308038665,,,,,,,,,,,,
120.0,45.0,0.1753582298755646,0.0,0.0,12.0,180.0,0.7654074728488922,0.04209444852527263,1.0,0.0,0.25,0.0,0.25,3.884852170944214,3.4232993125915527,12.206926833641774,10.0,1.0,200.0,4.0265718329697835
121.0,113.0,-0.3587381157279016,0.0,nan,24.0,452.0,1.3764004707336426,0.04298515620293841,,,,,,,,,,,,
122.0,151.0,0.355533563867211,0.0,nan,32.0,604.0,1.1474171578884125,0.03433145389027459,,,,,,,,,,,,
123.0,19.0,-0.23484503269195553,0.0,nan,4.0,76.0,1.1974003911018372,0.03081107986256364,,,,,,,,,,,,
124.0,74.0,0.20842079281806952,0.0,nan,16.0,296.0,1.617356777191162,0.06082583076394599,,,,,,,,,,,,
125.0,63.0,-0.2622336465120315,0.0,nan,16.0,252.0,1.6075315177440643,0.03744904626616322,,,,,,,,,,,,
