iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,200.0,25.192014542206024,0.5,nan,143.0,800.0,0.06500294075037041,0.05213414613108469,1.0,0.0,0.0,0.5,0.0,-0.027669265866279602,3.2203779220581055,2.8630530184600502,13.0,1.0,41.0,-0.373683009147644
2.0,200.0,7.117652623727916,0.5,nan,81.0,800.0,0.06995083065703511,0.029241758790259365,,,,,,,,,,,,
3.0,200.0,42.365648091631016,0.5,nan,202.0,800.0,0.3009225479327142,0.05533708569600293,,,,,,,,,,,,
4.0,139.0,10.633394763935353,0.5,nan,71.0,556.0,0.0983913573436439,0.020655715442084777,,,,,,,,,,,,
5.0,200.0,32.5495375325787,0.75,nan,163.0,800.0,0.20569049008190632,0.008059790172077363,,,,,,,,,,,,
6.0,200.0,18.40231568065356,0.25,nan,114.0,800.0,0.1032057236880064,0.01686724380953919,,,,,,,,,,,,
7.0,94.0,7.17547522637993,0.25,nan,49.0,376.0,0.3546837568283081,0.026907142812428342,,,,,,,,,,,,
8.0,47.0,-0.39972123622894284,0.0,nan,12.0,188.0,0.16721950471401215,0.1493058313279378,,,,,,,,,,,,
9.0,200.0,18.844430529512472,0.5,nan,112.0,800.0,0.04042556881904602,0.05198005432602848,,,,,,,,,,,,
10.0,200.0,26.97079473740888,0.75,nan,136.0,800.0,0.6174609661102295,0.017909447598821182,1.0,0.0,0.5,0.0,0.5,0.12380826473236084,2.7866177558898926,12.415260208319523,163.0,1.0,200.0,32.32150073314552
11.0,200.0,21.46849399276544,0.5,nan,127.0,800.0,0.25444123591296375,0.006607405916674192,,,,,,,,,,,,
12.0,145.0,7.253701717639343,0.25,nan,61.0,580.0,-0.004414369352161884,0.026353146869560362,,,,,,,,,,,,
13.0,200.0,22.656731585087257,0.75,nan,131.0,800.0,0.35819592947761214,0.01857947561436024,,,,,,,,,,,,
14.0,200.0,35.71626511412906,0.75,nan,174.0,800.0,0.21116401813924313,0.01867785436507141,,,,,,,,,,,,
15.0,171.0,31.695624062882267,1.0,nan,152.0,684.0,0.12365131980429092,0.006059074099596273,,,,,,,,,,,,
16.0,200.0,31.25151900222991,0.5,nan,162.0,800.0,0.2808071506830553,0.026641217290002572,,,,,,,,,,,,
17.0,180.0,29.449351380951704,1.0,nan,144.0,720.0,0.05667191355799635,0.017249838112739724,,,,,,,,,,,,
18.0,200.0,22.15054564189632,0.5,nan,125.0,800.0,0.14401892945170403,0.05174931508500791,,,,,,,,,,,,
19.0,200.0,34.35122140596505,0.75,nan,171.0,800.0,-0.034224346900979676,0.008021666735881894,,,,,,,,,,,,
20.0,194.0,50.454712141179485,1.0,nan,231.0,776.0,-0.07785666635027155,0.001333225384903436,1.0,0.0,0.75,0.0,0.75,1.6446973085403442,1.0547268390655518,12.742072364937485,148.0,1.0,200.0,28.436553200753405
21.0,200.0,34.00320475019981,0.75,nan,168.0,800.0,0.08012025275578101,0.034047685017148055,,,,,,,,,,,,
22.0,139.0,0.10990961942821731,0.0,nan,31.0,556.0,0.10997938737273216,0.02364946583781702,,,,,,,,,,,,
23.0,197.0,50.2186015486438,1.0,nan,232.0,788.0,-0.04253066866658628,0.0028987259623907483,,,,,,,,,,,,
24.0,129.0,18.001627684158446,0.75,nan,96.0,516.0,0.07136397704016417,0.013300157861295459,,,,,,,,,,,,
25.0,131.0,10.265759153813123,0.25,nan,68.0,524.0,0.14714513206854463,0.051507191376630956,,,,,,,,,,,,
26.0,179.0,36.50405941884035,1.0,nan,169.0,716.0,0.9114779060085614,0.005764291551784595,,,,,,,,,,,,
27.0,200.0,29.17175723854452,0.75,nan,149.0,800.0,0.20125595697512227,0.041161948747195254,,,,,,,,,,,,
28.0,200.0,28.029479207517603,0.5,nan,153.0,800.0,0.02460105251520872,0.015406765941566647,,,,,,,,,,,,
29.0,164.0,24.781290865715125,0.5,nan,132.0,656.0,0.09706481701383987,0.04087339925614941,,,,,,,,,,,,
30.0,197.0,30.581828032371135,1.0,nan,149.0,788.0,0.2196583996216456,0.01556436572954567,1.0,1.0,1.0,0.0,1.0,0.9597978591918945,2.0223987102508545,13.43315253559922,165.0,1.0,200.0,33.80896248503123
31.0,200.0,23.57845013504849,0.25,nan,138.0,800.0,0.17869084615570802,0.024486041018325633,,,,,,,,,,,,
32.0,200.0,29.53213042044082,0.5,nan,156.0,800.0,-0.009177579854925472,0.020814854217538148,,,,,,,,,,,,
33.0,200.0,34.009055254363936,0.5,nan,180.0,800.0,0.17425654766460258,0.0979370507837829,,,,,,,,,,,,
34.0,200.0,39.672658594546384,0.75,nan,195.0,800.0,0.39054958149790764,0.07055678216742267,,,,,,,,,,,,
35.0,86.0,0.18839415773749343,0.0,nan,24.0,344.0,0.21992916986346245,0.08847585022681415,,,,,,,,,,,,
