iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,loss_low_actor,loss_low_value,low_entropy,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,200.0,7.861342402920121,0.25,nan,40.0,800.0,25.348684787750244,0.11276251476442667,0.06635675832569632,0.09281151719269154,-0.3809988498687744,1.0,0.0,0.5,0.0,0.5,2.842303991317749,3.495777130126953,12.920000306068687,40.0,1.0,200.0,15.01857538172044
2.0,200.0,23.72687850333751,0.5,nan,40.0,800.0,28.963955879211426,0.4535900226451304,0.42305332404106366,0.06107341246000324,-0.3809988498687744,,,,,,,,,,,,
3.0,200.0,11.656969988916536,0.5,nan,40.0,800.0,6.2410649061203,0.06856266832012814,0.03386972502569298,0.06938588878157367,-0.3809988498687744,,,,,,,,,,,,
4.0,200.0,0.22469933629035863,0.0,nan,40.0,800.0,0.06190279684960842,0.18750947743751567,0.145778583637639,0.08346178706900165,-0.3809988498687744,,,,,,,,,,,,
5.0,200.0,0.011380150914191173,0.0,nan,40.0,800.0,0.06550099141895771,0.12626716413660688,0.09459070621369392,0.06335291721390723,-0.3809988498687744,,,,,,,,,,,,
6.0,200.0,14.396982092317202,0.75,nan,40.0,800.0,25.65574073791504,0.04118238563933119,0.01250900697777979,0.05734675870543136,-0.3809988498687744,,,,,,,,,,,,
7.0,200.0,15.497063835989682,0.75,nan,40.0,800.0,28.609421730041504,0.19029358752398196,0.15979048314201805,0.06100621242433214,-0.3809988498687744,,,,,,,,,,,,
8.0,200.0,20.828790631797162,0.75,nan,40.0,800.0,22.552602291107178,0.022587548656247236,-0.004063408975255811,0.05330191318323596,-0.3809988498687744,,,,,,,,,,,,
9.0,92.0,-0.06991687163710592,0.0,nan,20.0,368.0,0.10385122708976269,0.10242942609568217,0.08673925742317135,0.03138033788923844,-0.3809988498687744,,,,,,,,,,,,
10.0,50.0,0.13001427054405212,0.0,nan,12.0,200.0,0.10958023741841316,0.032100951729808,0.008035369908902794,0.04813116445346722,-0.3809988498687744,1.0,0.0,0.0,0.25,0.0,2.8203346729278564,1.4992899894714355,11.026276946449798,24.0,1.0,104.0,0.3820496296882626
11.0,200.0,2.2247144587337964,0.25,nan,40.0,800.0,2.5782225728034973,0.10009747544427228,0.06390603998534061,0.07238287477675462,-0.3809988498687744,,,,,,,,,,,,
12.0,200.0,4.260099889943376,0.5,nan,40.0,800.0,1.6150366961956024,0.11097794063221045,0.08775136650842796,0.046453147159962516,-0.3809988498687744,,,,,,,,,,,,
13.0,200.0,-0.7498316109180451,0.0,nan,40.0,800.0,0.0761442668735981,0.06917751832406793,0.04023480649902922,0.05788542365401755,-0.3809988498687744,,,,,,,,,,,,
14.0,177.0,10.4699777341634,0.5,nan,36.0,708.0,10.484432935714722,0.036569681999026216,0.021405718976097887,0.03032792760875145,-0.3809988498687744,,,,,,,,,,,,
15.0,116.0,0.5587821865081783,0.0,nan,24.0,464.0,0.007549629081040621,0.026562361390006117,0.004038628321779925,0.04504746702394834,-0.3809988498687744,,,,,,,,,,,,
16.0,200.0,0.10636566430330163,0.0,nan,40.0,800.0,0.047610627487301826,0.07304370009160266,0.034975507793660654,0.07613638714562851,-0.3809988498687744,,,,,,,,,,,,
17.0,169.0,7.157140846122057,0.25,nan,36.0,676.0,10.253185749053955,0.03509527404548862,0.001051825375725457,0.06808689733964135,-0.3809988498687744,,,,,,,,,,,,
18.0,134.0,-0.12392281830310853,0.0,nan,28.0,536.0,0.10301913693547249,0.10282955082533363,0.060531379707301367,0.0845963419432535,-0.3809988498687744,,,,,,,,,,,,
19.0,200.0,1.8218107342720027,0.25,nan,40.0,800.0,1.960745394229889,0.08531612279440992,0.053441946107399566,0.06374835536990986,-0.3809988498687744,,,,,,,,,,,,
20.0,200.0,4.098669007793069,0.5,nan,40.0,800.0,1.836093157529831,0.07756864629209304,0.05140875545552781,0.052319781691263834,-0.3809988498687744,1.0,0.0,0.0,0.25,0.0,2.8113272190093994,2.8660638332366943,8.753631804836914,16.0,1.0,72.0,0.3497283089160918
21.0,200.0,10.41704893372953,0.25,nan,40.0,800.0,4.758488893508911,0.07123622950530262,0.02816016605538607,0.08615212641725026,-0.3809988498687744,,,,,,,,,,,,
22.0,200.0,8.546080153202636,0.25,nan,40.0,800.0,6.838154911994934,0.028634923622121278,0.017631886698836752,0.022006072977662827,-0.3809988498687744,,,,,,,,,,,,
23.0,28.0,-0.20992053031921384,0.0,nan,8.0,112.0,0.06588710006326437,0.05729801452642797,0.038966672476557766,0.03666268818001398,-0.3809988498687744,,,,,,,,,,,,
24.0,165.0,0.6969143331050865,0.0,nan,36.0,660.0,0.014934760052710772,0.1618299191970891,0.141720601138843,0.04021863293043415,-0.3809988498687744,,,,,,,,,,,,
25.0,67.0,0.2986019897460937,0.0,nan,16.0,268.0,0.06759967096149921,0.052188655249324256,0.0328839460241781,0.038609415398562774,-0.3809988498687744,,,,,,,,,,,,
26.0,44.0,-0.33706988334655763,0.0,nan,12.0,176.0,-0.026974608656018972,0.033876491060999055,0.01995915812916461,0.02783467061968475,-0.3809988498687744,,,,,,,,,,,,
27.0,200.0,-0.7538746416568761,0.0,nan,40.0,800.0,0.23113759234547615,0.1633656353724291,0.08921752378068959,0.14829623135724201,-0.3809988498687744,,,,,,,,,,,,
28.0,200.0,-1.1224562987685212,0.0,nan,40.0,800.0,0.1080676969140768,0.18032847128415597,0.12081591296073593,0.11902511978083383,-0.3809988498687744,,,,,,,,,,,,
29.0,200.0,-0.1496377587318426,0.0,nan,40.0,800.0,0.14121682196855545,0.097387745964852,0.06658103539070837,0.06161342360464207,-0.3809988498687744,,,,,,,,,,,,
30.0,124.0,-0.3062136256694796,0.0,nan,28.0,496.0,0.13667840510606766,0.1210252017667699,0.06586296082536247,0.1103244802039498,-0.3809988498687744,1.0,0.0,0.0,0.25,0.0,2.855139970779419,3.086637020111084,7.987309534160886,16.0,1.0,75.0,0.053543376922607355
31.0,168.0,-0.8661233234405519,0.0,nan,36.0,672.0,0.14846818149089813,0.08237899554569594,0.05780300957970435,0.049151971761997704,-0.3809988498687744,,,,,,,,,,,,
32.0,82.0,-0.3162004452943802,0.0,nan,20.0,328.0,0.14704124256968498,0.13275316202584975,0.07604865425923421,0.11340901795651981,-0.3809988498687744,,,,,,,,,,,,
33.0,63.0,-0.403589164018631,0.0,nan,16.0,252.0,0.2165239118039608,0.24100920010407986,0.21311770820156342,0.05578298423628124,-0.3809988498687744,,,,,,,,,,,,
34.0,200.0,6.875669326074421,0.25,nan,44.0,800.0,5.5798444747924805,0.049973619375805356,0.014397298245398815,0.07115263774143309,-0.3809988498687744,,,,,,,,,,,,
35.0,124.0,0.182571304440498,0.0,nan,28.0,496.0,0.20621884986758232,0.03230946290000247,0.02035959626937256,0.0238997344966851,-0.3809988498687744,,,,,,,,,,,,
36.0,200.0,-1.229089243710042,0.0,nan,40.0,800.0,0.06775805167853832,0.0852347535719673,0.02972759595991538,0.11101431499480212,-0.3809988498687744,,,,,,,,,,,,
37.0,185.0,-0.4512627184391024,0.0,nan,40.0,740.0,0.06891841813921928,0.10202155463139206,0.06422050365199539,0.07560210445483753,-0.3809988498687744,,,,,,,,,,,,
38.0,200.0,0.03338571786880508,0.25,nan,40.0,800.0,0.1736348792910576,0.10714532625615902,0.04223248230027821,0.1298256893893563,-0.3809988498687744,,,,,,,,,,,,
39.0,200.0,-0.6966856539249418,0.0,nan,40.0,800.0,0.08930642902851105,0.09479663360896673,0.041385784077517605,0.10682169885387192,-0.3809988498687744,,,,,,,,,,,,
40.0,200.0,-0.8042085826396942,0.0,nan,40.0,800.0,0.0751779954880476,0.09495202465006969,0.05418422038860626,0.0815356020528934,-0.3809988498687744,1.0,0.0,0.0,0.5,0.0,-0.021376192569732666,3.6177663803100586,3.7371803925489075,12.0,1.0,41.0,-0.2275858318805695
41.0,142.0,3.194650162449107,0.25,nan,32.0,568.0,4.529968023300171,0.09020145116028289,0.04175188898329907,0.09689912628710812,-0.3809988498687744,,,,,,,,,,,,
42.0,200.0,8.680581450276078,0.25,nan,40.0,800.0,7.43690812587738,0.20137135953699214,0.03684517323729608,0.32905237062515025,-0.3809988498687744,,,,,,,,,,,,
43.0,200.0,-0.08042012751102441,0.0,nan,40.0,800.0,0.02457778761163354,0.057153221562657563,0.031156905330238516,0.05199263111302527,-0.3809988498687744,,,,,,,,,,,,
44.0,55.0,-0.11443539857864377,0.0,nan,12.0,220.0,0.19157326593995094,0.10904649987774477,0.07935984575464813,0.05937330836039347,-0.3809988498687744,,,,,,,,,,,,
45.0,62.0,-0.2688043308258057,0.0,nan,16.0,248.0,0.05462505854666233,0.06057169395423825,0.045357354198424744,0.030428678249004824,-0.3809988498687744,,,,,,,,,,,,
46.0,44.0,-0.4506197625398636,0.0,nan,12.0,176.0,0.498849093914032,0.07261809449515898,0.065047479970169,0.01514122426062291,-0.3809988498687744,,,,,,,,,,,,
47.0,200.0,-0.02154178023338374,0.0,nan,40.0,800.0,0.009876905474811792,0.0310726023872121,0.013070941637124633,0.0360033198093066,-0.3809988498687744,,,,,,,,,,,,
48.0,200.0,0.12542699854820857,0.0,nan,40.0,800.0,0.12217738479375839,0.08180399433967978,0.04181535130354064,0.07997728474504417,-0.3809988498687744,,,,,,,,,,,,
49.0,200.0,3.5873175654560323,0.5,nan,40.0,800.0,6.957732200622559,0.04011433302639489,0.01684966893026285,0.046529325912542135,-0.3809988498687744,,,,,,,,,,,,
50.0,144.0,-0.2419326061010364,0.0,nan,32.0,576.0,0.23150206357240677,0.07416059593288082,0.0637850472855348,0.020751097685054787,-0.3809988498687744,1.0,0.0,0.0,0.25,0.0,0.8671780824661255,3.7483325004577637,7.90307280246634,20.0,1.0,83.0,0.004192907810211088
51.0,200.0,14.657082594465468,0.25,nan,40.0,800.0,8.627587795257568,0.04512005981086986,-0.005336442145562614,0.10091300187225538,-0.3809988498687744,,,,,,,,,,,,
52.0,200.0,1.907330339774488,0.25,nan,40.0,800.0,3.357440948486328,0.11494103435870784,0.07127779084385111,0.08732648964708378,-0.3809988498687744,,,,,,,,,,,,
53.0,178.0,-0.252794681787491,0.0,nan,36.0,712.0,0.042264439165592194,0.06515841571399505,0.04406031811844002,0.04219619459431592,-0.3809988498687744,,,,,,,,,,,,
