iteration,episode_return_mean,train_success_rate,train_collision_rate,high_samples,loss_high_total,loss_high_actor,loss_high_value,high_entropy,high_approx_kl,high_clip_frac,high_entropy_coef,eval_episode_return_mean,eval_success_rate,eval_collision_rate,eval_steps_mean
1.0,-1.0097143745422361,0.0,0.1875,43.0,0.08789253793656826,-0.02575661588547007,0.38659752905368805,1.592992216348648,-0.0018825489509213256,0.0,0.05,-0.9795410847663879,0.0,0.125,5.375
2.0,-1.033033984899521,0.0,0.0625,38.0,-0.026240001432597637,-0.033055073508110766,0.17410286702215672,1.606565922498703,0.01584300174573927,0.02631578966975212,0.049942775393419174,,,,
3.0,-0.978622204065323,0.0,0.4375,64.0,-0.08192632254213095,-0.027349374257028103,0.049923057202249765,1.5944190919399261,-0.006592500489205122,0.03515625,0.049885550786838345,,,,
4.0,-0.9224115818738938,0.0,0.625,88.0,-0.08926810882985592,-0.03164425981231034,0.037951549515128136,1.537270724773407,0.017400317126885056,0.1953125,0.049828326180257516,,,,
5.0,-0.9789458721876143,0.0,0.3125,82.0,-0.0454571433365345,-0.04974273359403014,0.15726271364837885,1.4937537014484406,0.009853946205112152,0.021701388992369175,0.04977110157367668,,,,
6.0,-0.9064991950988769,0.0,0.5625,53.0,-0.07469607423990965,-0.02039067322862742,0.030809153337031603,1.4022237956523895,0.007755940771257741,0.0,0.04971387696709585,,,,
7.0,-0.796559898853302,0.0,0.875,75.0,-0.04112670477479696,0.013872234732843935,0.01830627687741071,1.291913166642189,-0.021632257383316755,0.20774147659540176,0.04965665236051502,,,,
8.0,-0.8265867328643799,0.0,0.75,57.0,-0.06995341554284096,-0.0208215884039209,0.014096097787842155,1.1326719224452972,0.009772441055821757,0.0,0.049599427753934194,,,,
9.0,-0.7825978326797485,0.0,0.875,71.0,0.06778699299320579,0.11276390333659947,0.00861559872282669,0.9948023930191994,0.004776523623149842,0.12611607275903225,0.049542203147353366,,,,
10.0,-0.7248272228240966,0.0,0.9375,91.0,-0.039839601842686534,0.0005935631925240159,0.006622077897191048,0.8839895650744438,0.0003440041182329878,0.0,0.04948497854077254,,,,
11.0,-0.7566430413722992,0.0,0.875,72.0,-0.0789567050524056,-0.03542976418975741,0.004418189302668907,0.9253107905387878,0.0066091271582990885,0.0,0.04942775393419171,,,,
12.0,-0.7730815315246582,0.0,0.9375,66.0,-0.06743289576843381,-0.033189889742061496,0.010648501869582105,0.8014346435666084,0.014385134447366,0.06640625,0.04937052932761087,,,,
13.0,-0.7673265242576599,0.0,0.875,74.0,-0.06172729330137372,-0.030508143827319145,0.004902924760244787,0.682789646089077,0.009691846324130893,0.09765625093132257,0.049313304721030043,,,,
