iteration,curriculum_single_agent_stage,mixed_fixed_scene_stage,steps_collected,episode_return_mean,safe_reach_ratio,skill_entropy_norm,top1_skill_ratio,high_div_bonus_mean,conv_eval_success_delta_w5,high_entropy_coef,low_entropy_coef,low_reference_pretrain_stage,high_samples,low_samples,loss_high_total,loss_low_mean,loss_low_actor,loss_low_value,low_entropy,low_f_mean_x,low_f_mean_y,low_h_eig_min,low_h_eig_max,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1301.0,0.0,1.0,40.0,-1.2976430296897887,0.0,0.7792158234682519,0.35294117647058826,0.0,nan,0.010000000000000002,0.0,0.0,17.0,160.0,8.361605644226074,0.5894808670065685,0.11916756445975807,0.9390861586109566,-0.405307412147522,5.899535498023033,41.31153239607811,15.843953806161881,33.30757970809937,1.0,0.0,0.75,0.0,0.75,0.10387185215950012,1.476072072982788,12.397180947198649,86.0,1.0,200.0,272.3935173936191
1302.0,0.0,0.0,143.0,8.21087071865799,1.0,0.6293203022505174,0.5901639344262295,0.0,nan,0.010000000000000002,0.0,0.0,61.0,532.0,0.9317116588354111,0.10950641217277735,0.08541655829935735,0.048115256551267305,-0.405307412147522,1.8566542532644235,-0.02790250303223729,15.527924349531531,28.93400887027383,,,,,,,,,,,,
1303.0,0.0,0.0,178.0,7.944245276153101,1.0,0.8985177796939913,0.3968253968253968,0.0,nan,0.010000000000000002,0.0,0.0,63.0,523.0,0.9496481269598007,0.20309849679324543,0.14806497099743865,0.10987944395707894,-0.405307412147522,-1.9572146738064475,2.2859652610495687,19.204268995672464,41.33281834423542,,,,,,,,,,,,
1304.0,0.0,0.0,186.0,8.753044730424902,1.0,0.8660481977010197,0.43661971830985913,0.0,nan,0.010000000000000002,0.0,0.0,71.0,635.0,0.8747305497527122,0.24487100823080254,0.14520445435762142,0.19922967934890623,-0.405307412147522,0.8560475463164039,-0.8322416553273797,18.424017809331417,37.63438295572996,,,,,,,,,,,,
1305.0,0.0,1.0,42.0,-2.47131995677948,0.0,0.6292029771190603,0.5,0.0,nan,0.010000000000000002,0.0,0.0,20.0,168.0,7.477219223976135,0.6577719840572952,0.21788915406900092,0.8784792385544972,-0.405307412147522,-11.913518669349807,-43.223218134471345,21.785385341871354,47.64858528545925,,,,,,,,,,,,
1306.0,0.0,1.0,42.0,-1.3059969973564147,0.0,0.8427390864359282,0.35,0.0,nan,0.010000000000000002,0.0,0.0,20.0,168.0,7.009936690330505,0.5103781676388324,0.11482223658125197,0.7895128921618251,-0.405307412147522,6.9221382928746085,47.051214047840666,17.396059280350094,38.16359889507294,,,,,,,,,,,,
1307.0,0.0,1.0,114.0,0.22035031080245904,0.0,0.9305927226084252,0.3269230769230769,0.0,nan,0.010000000000000002,0.0,0.0,52.0,456.0,0.5931346416473389,0.1658390438169164,0.10036657096132262,0.12917693057031637,-0.405307412147522,-3.8579046335071325,-3.019992067012936,16.491479475051165,32.492023542523384,,,,,,,,,,,,
1308.0,0.0,0.0,168.0,8.23142747789623,1.0,0.9219038485421535,0.3392857142857143,0.0,nan,0.010000000000000002,0.0,0.0,56.0,496.0,2.516091465950012,0.4427200520030965,0.16165977147689947,0.5619829487431036,-0.405307412147522,-0.03997879795497283,1.367147175827995,18.32329548150301,37.705793395638466,,,,,,,,,,,,
1309.0,0.0,0.0,200.0,8.21424873374405,0.5,0.8141211611101933,0.34177215189873417,0.0,nan,0.010000000000000002,0.0,0.0,79.0,714.0,1.4440739005804062,0.4467043704776188,0.20895049000934307,0.4753931791098607,-0.405307412147522,-1.4590422556502745,-2.202177304541692,19.855837903916836,39.91058640182018,,,,,,,,,,,,
1310.0,0.0,0.0,200.0,9.73191704154017,0.75,0.844868122786057,0.4,0.0,nan,0.010000000000000002,0.0,0.0,75.0,655.0,1.3837481588125229,0.20638842924881828,0.10160284108735596,0.20938306678569024,-0.405307412147522,-0.5605361063499004,0.36824278999119997,17.066657055169344,32.225593253970146,1.0,0.0,0.75,0.0,0.75,0.008400365710258484,1.3183472156524658,12.334555748748244,84.0,1.0,200.0,269.91400019452004
