iteration,n_rounds,skill_ids,skill_names,t_start,t_end
33,12,"[2, 2, 2, 0, 0, 3, 2, 3, 2, 1, 4, 1]","[""accelerate"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_left"", ""decelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""turn_right"", ""cruise"", ""turn_right""]","[0, 20, 40, 60, 74, 91, 109, 129, 148, 165, 178, 198]","[20, 40, 60, 74, 91, 109, 129, 148, 165, 178, 198, 200]"
34,13,"[3, 2, 1, 4, 4, 2, 0, 1, 4, 4, 0, 0, 0]","[""decelerate"", ""accelerate"", ""turn_right"", ""cruise"", ""cruise"", ""accelerate"", ""turn_left"", ""turn_right"", ""cruise"", ""cruise"", ""turn_left"", ""turn_left"", ""turn_left""]","[0, 4, 24, 44, 64, 84, 104, 117, 129, 149, 169, 184, 197]","[4, 24, 44, 64, 84, 104, 117, 129, 149, 169, 184, 197, 200]"
35,12,"[2, 4, 2, 2, 2, 1, 4, 0, 4, 3, 2, 1]","[""accelerate"", ""cruise"", ""accelerate"", ""accelerate"", ""accelerate"", ""turn_right"", ""cruise"", ""turn_left"", ""cruise"", ""decelerate"", ""accelerate"", ""turn_right""]","[0, 20, 40, 60, 80, 88, 101, 121, 131, 151, 162, 182]","[20, 40, 60, 80, 88, 101, 121, 131, 151, 162, 182, 200]"
36,16,"[4, 1, 2, 2, 2, 2, 0, 1, 1, 2, 4, 2, 4, 2, 1, 2]","[""cruise"", ""turn_right"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_right"", ""accelerate"", ""cruise"", ""accelerate"", ""cruise"", ""accelerate"", ""turn_right"", ""accelerate""]","[0, 20, 23, 43, 59, 60, 61, 71, 87, 105, 106, 126, 146, 166, 186, 199]","[20, 23, 43, 59, 60, 61, 71, 87, 105, 106, 126, 146, 166, 186, 199, 200]"
37,14,"[0, 2, 4, 2, 0, 0, 2, 0, 4, 1, 4, 0, 0, 1]","[""turn_left"", ""accelerate"", ""cruise"", ""accelerate"", ""turn_left"", ""turn_left"", ""accelerate"", ""turn_left"", ""cruise"", ""turn_right"", ""cruise"", ""turn_left"", ""turn_left"", ""turn_right""]","[0, 3, 23, 43, 63, 76, 90, 104, 118, 138, 148, 168, 179, 190]","[3, 23, 43, 63, 76, 90, 104, 118, 138, 148, 168, 179, 190, 200]"
38,14,"[2, 4, 0, 2, 1, 0, 0, 2, 0, 4, 4, 4, 1, 4]","[""accelerate"", ""cruise"", ""turn_left"", ""accelerate"", ""turn_right"", ""turn_left"", ""turn_left"", ""accelerate"", ""turn_left"", ""cruise"", ""cruise"", ""cruise"", ""turn_right"", ""cruise""]","[0, 20, 40, 46, 63, 77, 89, 102, 103, 116, 136, 156, 176, 196]","[20, 40, 46, 63, 77, 89, 102, 103, 116, 136, 156, 176, 196, 200]"
39,11,"[2, 2, 4, 1, 1, 1, 4, 0, 0, 4, 1]","[""accelerate"", ""accelerate"", ""cruise"", ""turn_right"", ""turn_right"", ""turn_right"", ""cruise"", ""turn_left"", ""turn_left"", ""cruise"", ""turn_right""]","[0, 20, 32, 52, 66, 82, 99, 119, 131, 142, 162]","[20, 32, 52, 66, 82, 99, 119, 131, 142, 162, 178]"
40,12,"[2, 2, 1, 3, 4, 4, 2, 1, 0, 4, 1, 2]","[""accelerate"", ""accelerate"", ""turn_right"", ""decelerate"", ""cruise"", ""cruise"", ""accelerate"", ""turn_right"", ""turn_left"", ""cruise"", ""turn_right"", ""accelerate""]","[0, 20, 36, 51, 71, 91, 111, 130, 147, 158, 178, 197]","[20, 36, 51, 71, 91, 111, 130, 147, 158, 178, 197, 200]"
41,5,"[0, 1, 2, 0, 1]","[""turn_left"", ""turn_right"", ""accelerate"", ""turn_left"", ""turn_right""]","[0, 7, 15, 24, 35]","[7, 15, 24, 35, 36]"
42,21,"[1, 2, 2, 0, 2, 2, 2, 0, 2, 2, 0, 2, 1, 2, 2, 0, 3, 2, 4, 4, 0]","[""turn_right"", ""accelerate"", ""accelerate"", ""turn_left"", ""accelerate"", ""accelerate"", ""accelerate"", ""turn_left"", ""accelerate"", ""accelerate"", ""turn_left"", ""accelerate"", ""turn_right"", ""accelerate"", ""accelerate"", ""turn_left"", ""decelerate"", ""accelerate"", ""cruise"", ""cruise"", ""turn_left""]","[0, 3, 23, 40, 53, 56, 57, 58, 70, 71, 72, 84, 85, 100, 101, 102, 114, 134, 154, 174, 194]","[3, 23, 40, 53, 56, 57, 58, 70, 71, 72, 84, 85, 100, 101, 102, 114, 134, 154, 174, 194, 200]"
43,17,"[1, 2, 2, 0, 1, 2, 0, 0, 2, 1, 2, 2, 2, 3, 2, 1, 2]","[""turn_right"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""accelerate"", ""turn_left"", ""turn_left"", ""accelerate"", ""turn_right"", ""accelerate"", ""accelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""turn_right"", ""accelerate""]","[0, 5, 25, 45, 59, 70, 85, 97, 108, 115, 127, 131, 132, 133, 151, 171, 191]","[5, 25, 45, 59, 70, 85, 97, 108, 115, 127, 131, 132, 133, 151, 171, 191, 200]"
44,13,"[1, 2, 4, 1, 2, 2, 0, 1, 4, 4, 1, 4, 2]","[""turn_right"", ""accelerate"", ""cruise"", ""turn_right"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""cruise"", ""cruise"", ""turn_right"", ""cruise"", ""accelerate""]","[0, 6, 26, 46, 55, 75, 86, 97, 110, 130, 150, 165, 185]","[6, 26, 46, 55, 75, 86, 97, 110, 130, 150, 165, 185, 200]"
45,15,"[1, 2, 4, 0, 2, 2, 2, 2, 2, 1, 4, 4, 4, 2, 0]","[""turn_right"", ""accelerate"", ""cruise"", ""turn_left"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""turn_right"", ""cruise"", ""cruise"", ""cruise"", ""accelerate"", ""turn_left""]","[0, 5, 25, 45, 65, 85, 87, 88, 89, 90, 103, 123, 143, 163, 183]","[5, 25, 45, 65, 85, 87, 88, 89, 90, 103, 123, 143, 163, 183, 200]"
46,13,"[1, 2, 0, 0, 2, 1, 0, 4, 4, 0, 1, 4, 4]","[""turn_right"", ""accelerate"", ""turn_left"", ""turn_left"", ""accelerate"", ""turn_right"", ""turn_left"", ""cruise"", ""cruise"", ""turn_left"", ""turn_right"", ""cruise"", ""cruise""]","[0, 4, 24, 44, 64, 84, 97, 109, 129, 149, 162, 175, 195]","[4, 24, 44, 64, 84, 97, 109, 129, 149, 162, 175, 195, 200]"
