iteration,steps_collected,episode_return_mean,safe_reach_ratio,skill_entropy_norm,top1_skill_ratio,high_div_bonus_mean,conv_eval_success_delta_w5,high_entropy_coef,low_entropy_coef,high_samples,low_samples,loss_high_total,loss_low_mean,loss_low_actor,loss_low_value,low_entropy,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,16.0,-0.9200168585777282,0.0,0.767438498640384,0.4,0.0,nan,0.05,0.002,15.0,64.0,0.21279921382665634,0.5702434622799046,0.2394930004754059,0.6500327443769756,4.594120226800442,1.0,0.0,0.0,0.25,0.0,2.418926477432251,1.2412011623382568,13.915554649895057,78.0,1.0,156.0,-2.7498579716682423
2.0,46.0,-0.7613753116130829,0.0,0.9461403764555878,0.35714285714285715,0.0,nan,0.049942775393419174,0.0019933110367892975,28.0,184.0,0.3883651942014694,0.4952898442178317,0.16605146889947303,0.6490016739495151,4.594692707061768,,,,,,,,,,,,
3.0,72.0,-0.47342099368572266,0.0,0.9627989156067871,0.2682926829268293,0.0,nan,0.049885550786838345,0.0019866220735785954,41.0,288.0,0.06321191973984241,0.2995259517474551,0.09574588643454263,0.379002269164457,4.594583734869957,,,,,,,,,,,,
4.0,12.0,-0.6092309546470643,0.0,0.9426312884329151,0.3333333333333333,0.0,nan,0.049828326180257516,0.001979933110367893,12.0,48.0,0.25017300248146057,0.28453878379271674,0.029006211222925533,0.5006450357127482,4.594692707061768,,,,,,,,,,,,
5.0,26.0,-0.9278147941827775,0.0,0.9248128303684463,0.3888888888888889,0.0,nan,0.04977110157367668,0.001973244147157191,18.0,104.0,0.6444250494241714,0.5019050667178817,0.1239870716817677,0.7401821924833161,4.594692707061768,,,,,,,,,,,,
6.0,28.0,-0.4866935248672963,0.0,0.858898030882785,0.3888888888888889,0.0,nan,0.04971387696709585,0.0019665551839464883,18.0,112.0,0.5178413614630699,0.405017526109337,0.1057327695775062,0.5484076505259898,4.594692707061768,,,,,,,,,,,,
7.0,43.0,-1.1737622517347335,0.0,0.8986547330829208,0.32142857142857145,0.0,nan,0.04965665236051502,0.001959866220735786,28.0,172.0,0.6041971445083618,0.467698851491996,0.08114536215015146,0.7307507699267137,4.594692707061768,,,,,,,,,,,,
8.0,19.0,-0.9147594594955445,0.0,0.8339095555359209,0.375,0.0,nan,0.049599427753934194,0.0019531772575250837,16.0,76.0,0.4892614558339119,0.3137277312037584,0.04396947525674477,0.4715143670090535,4.584077537059784,,,,,,,,,,,,
9.0,49.0,-1.6572704219818113,0.0,0.9701542532672794,0.2903225806451613,0.0,nan,0.049542203147353366,0.0019464882943143814,31.0,196.0,0.5035887509584427,0.4730274881169732,0.08697930155577356,0.7520000697048378,4.551976138231706,,,,,,,,,,,,
10.0,135.0,0.1535741478204723,0.0,0.9263684993936953,0.323943661971831,0.0,nan,0.04948497854077254,0.001939799331103679,71.0,540.0,0.07146890368312597,0.348927547393032,0.11603699988849153,0.39570794032972145,4.429394099861383,1.0,0.0,0.0,0.25,0.0,31.855388641357422,3.6927709579467773,1.3201490812934935,14.0,1.0,14.0,-0.9132101261615753
