iteration,curriculum_single_agent_stage,mixed_fixed_scene_stage,steps_collected,episode_return_mean,safe_reach_ratio,skill_entropy_norm,top1_skill_ratio,high_div_bonus_mean,conv_eval_success_delta_w5,high_entropy_coef,low_entropy_coef,low_reference_pretrain_stage,high_samples,low_samples,loss_high_total,loss_low_mean,loss_low_actor,loss_low_value,low_entropy,low_f_mean_x,low_f_mean_y,low_h_eig_min,low_h_eig_max,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1001.0,0.0,1.0,27.0,-1.1349172186851502,0.0,0.4243146336311163,0.5714285714285714,0.0,nan,0.010000000000000002,0.0,0.0,14.0,108.0,23.27881622314453,1.800044761422517,0.3467704687669303,2.900703455392608,-0.405307412147522,-6.677872489999841,418.95731721100987,231.63354350902415,380.17658261899595,1.0,1.0,1.0,0.0,1.0,0.10274675488471985,2.3412835597991943,11.782373399939388,74.0,1.0,176.0,287.68056279212266
1002.0,0.0,0.0,153.0,8.497072715647528,1.0,0.7517064132418778,0.3958333333333333,0.0,nan,0.010000000000000002,0.0,0.0,48.0,394.0,0.7108212411403656,0.4614795149553146,0.27784825198122753,0.3669894205954681,-0.405307412147522,-8.85591513023246,-2.0326150245964527,200.96425686776638,274.59894290566444,,,,,,,,,,,,
1003.0,0.0,0.0,127.0,8.4452096502483,1.0,0.7221634414724761,0.5102040816326531,0.0,nan,0.010000000000000002,0.0,0.0,49.0,393.0,0.23121392354369164,0.3506498899047052,0.31296337145663916,0.0750624654334574,-0.405307412147522,8.156649626791477,33.68480834364891,328.16414374113083,369.1674965620041,,,,,,,,,,,,
1004.0,0.0,0.0,168.0,7.185317244604243,0.75,0.7599774646651257,0.4528301886792453,0.0,nan,0.010000000000000002,0.0,0.0,53.0,446.0,2.6362550854682922,0.7927098741219248,0.3193514468038662,0.938714017929861,-0.405307412147522,-9.326325269415975,-32.01590623613447,363.48550683259964,413.6095037460327,,,,,,,,,,,,
1005.0,0.0,1.0,40.0,-0.5100430488586425,0.0,0.7631921288257136,0.3888888888888889,0.0,nan,0.010000000000000002,0.0,0.0,18.0,160.0,20.782232761383057,1.7230561426029454,0.3388891051351536,2.765884603140421,-0.405307412147522,-10.868243759870529,-248.59608488082887,175.4303189754486,233.91567468643188,,,,,,,,,,,,
1006.0,0.0,1.0,23.0,-0.5211101579666138,0.0,0.43067655925682136,0.5,0.0,nan,0.010000000000000002,0.0,0.0,12.0,92.0,19.350385189056396,1.3432206220376943,0.3354472824841791,2.0096868687869573,-0.405307412147522,18.592755374701127,446.42882471499234,346.13398510476816,424.7399653559146,,,,,,,,,,,,
1007.0,0.0,1.0,66.0,0.8385330104827877,0.0,0.629426368909764,0.46875,0.0,nan,0.010000000000000002,0.0,0.0,32.0,264.0,17.898831844329834,1.5978926453746283,0.3149678915736004,2.5621011381906733,-0.405307412147522,-66.16040794178843,5.112395725212991,182.2152114585042,241.9744647592306,,,,,,,,,,,,
1008.0,0.0,0.0,124.0,8.489081405363986,1.0,0.7572575066617361,0.48,0.0,nan,0.010000000000000002,0.0,0.0,50.0,412.0,0.5002244710922241,0.6927270241413339,0.3216238086820463,0.7417521045931909,-0.4252560583408922,-19.737787229940295,-26.44036548770964,289.60905107855797,385.6442502140999,,,,,,,,,,,,
1009.0,0.0,0.0,126.0,8.970213656127465,1.0,0.7941634451879308,0.34,0.0,nan,0.010000000000000002,0.0,0.0,50.0,445.0,0.7534793615341187,0.4200710112273818,0.33399491000355763,0.17186718482657848,-0.4058119098190218,-10.540758023038507,-3.213182870298624,249.33867001533508,407.45962595939636,,,,,,,,,,,,
1010.0,0.0,0.0,117.0,4.290053975842899,0.5,0.8435109584024149,0.3333333333333333,0.0,nan,0.010000000000000002,0.0,0.0,42.0,357.0,4.1673911809921265,0.819531541221366,0.3246062620294209,0.9894665953415807,-0.405307412147522,-0.7588793132454157,31.201940378174186,211.62738598883152,332.69679069519043,1.0,0.0,0.75,0.0,0.75,0.304775208234787,2.321174144744873,12.046906989269175,85.0,1.0,200.0,224.91687484644376
