iteration,curriculum_single_agent_stage,steps_collected,episode_return_mean,safe_reach_ratio,skill_entropy_norm,top1_skill_ratio,high_div_bonus_mean,conv_eval_success_delta_w5,high_entropy_coef,low_entropy_coef,low_reference_pretrain_stage,high_samples,low_samples,loss_high_total,loss_low_mean,loss_low_actor,loss_low_value,low_entropy,low_f_mean_x,low_f_mean_y,low_h_eig_min,low_h_eig_max,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,0.0,134.0,3.843108460158123,0.0,0.9836093126612052,0.23880597014925373,0.0,nan,0.05,0.0005,1.0,67.0,536.0,6.916181266307831,0.7053788449981653,0.4629348016186441,0.48472913870838585,0.0,3.5079357344657183,1.3050404438690748,1.6634108323487453,9.009543061256409,1.0,0.0,0.0,0.5,0.0,-0.04797450453042984,2.9468414783477783,6.726931676035747,35.0,1.0,75.0,1.0884548071771882
2.0,0.0,200.0,5.386736668571835,0.75,0.97292213384646,0.26666666666666666,0.0,nan,0.049942775393419174,0.000494949494949495,1.0,75.0,593.0,3.9428703486919403,0.4585602458211042,0.08270375132272534,0.7516496438382205,0.0,-0.1309500097995624,-2.257520585844759,6.479240340180695,20.028896737843752,,,,,,,,,,,,
3.0,0.0,136.0,5.916941555514944,0.25,0.9836670864001804,0.2545454545454545,0.0,nan,0.049885550786838345,0.0004898989898989899,1.0,55.0,478.0,8.235687017440796,0.3612348956403366,0.007897488740510994,0.7066420030996453,0.0,-0.6318262971326476,3.9802901251241565,11.389019256457686,29.733628675341606,,,,,,,,,,,,
4.0,0.0,179.0,9.201667434535937,1.0,0.9737497056228304,0.28125,0.0,nan,0.049828326180257516,0.00048484848484848484,1.0,64.0,575.0,12.3700590133667,0.7764214489370715,0.031032461533440525,1.4905795486718256,0.0,2.3245709346374497,-0.33647050146828406,12.95458638947457,31.82532762363553,,,,,,,,,,,,
5.0,0.0,75.0,1.4104221761226692,0.0,0.9653505890781877,0.3142857142857143,0.0,nan,0.04977110157367668,0.0004797979797979798,1.0,35.0,300.0,1.6907489001750946,0.16462858785757817,0.05198957936011463,0.22521853032417916,0.0,1.887453945542802,2.1980167731526308,9.714383183978498,24.3911306373775,,,,,,,,,,,,
6.0,0.0,200.0,6.302136592455229,0.5,0.9884263833204951,0.2638888888888889,0.0,nan,0.04971387696709585,0.00047474747474747476,1.0,72.0,627.0,6.236849516630173,0.15666269027099133,0.014382167651914912,0.2844993512358367,0.0,-1.0180409002059605,-3.418583129066974,14.921418783254921,25.070667810738087,,,,,,,,,,,,
7.0,0.0,166.0,5.616425343249006,0.5,0.9601945791502439,0.3333333333333333,0.0,nan,0.04965665236051502,0.0004696969696969697,1.0,54.0,468.0,6.331439018249512,0.5809162599250044,0.023213523418681884,1.11451266482527,0.0,1.3970486213220283,-0.725410260114586,18.721190307289362,29.13722524419427,,,,,,,,,,,,
8.0,0.0,200.0,8.16844834130259,0.75,0.9853633381902688,0.25396825396825395,0.0,nan,0.049599427753934194,0.0004646464646464647,1.0,63.0,571.0,10.471204280853271,0.46469828092494936,0.009518282861701421,0.9102790888737786,0.0,6.95964147883933,-8.285907748970203,42.814706828445196,56.90911058336496,,,,,,,,,,,,
9.0,0.0,182.0,8.981242441833032,1.0,0.9848304124826714,0.2727272727272727,0.0,nan,0.049542203147353366,0.0004595959595959596,1.0,55.0,487.0,14.686180591583252,1.1850871006831767,0.032219592785132534,2.305618144754474,0.0,-7.072005276451819,1.842221634578891,51.98980924114585,74.38104366511106,,,,,,,,,,,,
10.0,0.0,150.0,8.70926275337116,1.0,0.9813605809749434,0.2916666666666667,0.0,nan,0.04948497854077254,0.00045454545454545455,1.0,48.0,425.0,12.767942428588867,0.9147374584458703,0.004111753077084224,1.8210966124158503,0.0,-0.2817453895404469,-6.224936763057485,41.538681257516146,75.29101841896772,1.0,1.0,1.0,0.0,1.0,1.1138137578964233,2.375875949859619,11.838727875612676,76.0,1.0,178.0,270.153888697997
