iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
44.0,200.0,-1.1858489252626905,0.25,nan,40.0,800.0,0.10737940482795238,0.02720934574852825,,,,,,,,,,,,
45.0,189.0,-0.44731595531105994,0.25,nan,40.0,756.0,0.5664477348327637,0.005209903837899462,,,,,,,,,,,,
46.0,60.0,-0.4142306953668594,0.0,nan,12.0,240.0,-0.0201551360078156,0.017986263786284932,,,,,,,,,,,,
47.0,69.0,-0.9723694467544558,0.0,nan,16.0,276.0,0.08191890269517899,0.003842228313127638,,,,,,,,,,,,
48.0,200.0,-1.0927109003067021,0.0,nan,40.0,800.0,0.0573465321213007,0.0027589043234661006,,,,,,,,,,,,
49.0,159.0,-0.7224175685644156,0.0,nan,32.0,636.0,0.16559451073408127,0.0035872208757414814,,,,,,,,,,,,
50.0,135.0,-1.46464548110962,0.0,nan,28.0,540.0,0.12388002686202526,0.002001030842267326,1.0,0.0,0.0,0.25,0.0,17.88300323486328,3.7897744178771973,3.8309272340915186,6.0,1.0,105.0,-0.9809091448783875
51.0,159.0,-1.5658945941925055,0.0,nan,32.0,636.0,0.1540071666240692,0.0046199478579668635,,,,,,,,,,,,
52.0,200.0,7.342589299287644,0.25,nan,40.0,800.0,14.009679794311523,0.0012337573238031811,,,,,,,,,,,,
53.0,184.0,-1.7061317110061651,0.0,nan,40.0,736.0,0.27085456252098083,0.0008146240627309176,,,,,,,,,,,,
54.0,200.0,-1.3879807949066172,0.0,nan,40.0,800.0,0.12462891452014446,0.0006905806730922795,,,,,,,,,,,,
55.0,59.0,-0.6198624038696289,0.0,nan,12.0,236.0,0.2333887815475464,0.001155072938514669,,,,,,,,,,,,
56.0,122.0,0.41037343323230707,0.25,nan,28.0,488.0,0.7354843616485596,0.0010326498891088942,,,,,,,,,,,,
57.0,200.0,-2.1286986589431764,0.0,nan,40.0,800.0,0.12303109839558601,0.00048056603630008965,,,,,,,,,,,,
58.0,84.0,-1.0809379959106449,0.0,nan,20.0,336.0,0.04100860934704542,0.0001739573748783807,,,,,,,,,,,,
59.0,122.0,-1.3030969035625461,0.0,nan,28.0,488.0,0.1548263356089592,0.0004710264029281763,,,,,,,,,,,,
60.0,200.0,-1.8663304328918469,0.0,nan,40.0,800.0,0.13817473873496056,0.0005665322953207763,1.0,0.0,0.0,0.25,0.0,15.272260665893555,3.790269374847412,4.383897675676053,7.0,1.0,139.0,-1.2594979667663577
61.0,59.0,-0.6007856512069701,0.0,nan,12.0,236.0,0.1475042589008808,0.005270264256039799,,,,,,,,,,,,
62.0,138.0,-1.5429990577697759,0.0,nan,28.0,552.0,0.15366074442863464,0.0005536963825961694,,,,,,,,,,,,
63.0,190.0,-2.2991538643836984,0.0,nan,40.0,760.0,0.16086246818304062,0.0006778607236036516,,,,,,,,,,,,
64.0,200.0,-1.4476764321327222,0.0,nan,40.0,800.0,0.11415535770356655,0.00045237748121040866,,,,,,,,,,,,
65.0,200.0,-0.7907295197248465,0.0,nan,40.0,800.0,0.12267068959772587,0.0007912498426869696,,,,,,,,,,,,
66.0,200.0,-2.0634558677673347,0.0,nan,40.0,800.0,0.10620151087641716,0.00012713899930668834,,,,,,,,,,,,
67.0,200.0,-1.3160494029521954,0.0,nan,40.0,800.0,0.1827363632619381,0.0008626817139519294,,,,,,,,,,,,
68.0,200.0,-1.4705027401447306,0.0,nan,40.0,800.0,0.027353687677532434,0.00029214087238083053,,,,,,,,,,,,
69.0,200.0,-1.474996614456177,0.0,nan,40.0,800.0,0.052348602563142776,0.0002563768588409454,,,,,,,,,,,,
70.0,200.0,-1.030016005039215,0.0,nan,40.0,800.0,0.14823004975914955,0.0002443704979673833,1.0,0.0,0.0,0.25,0.0,15.792845726013184,3.790489673614502,2.1147304237902063,7.0,1.0,123.0,-1.2382935571670535
71.0,200.0,-1.2321148753166216,0.0,nan,40.0,800.0,-8.439621888101101e-05,0.0011216426469219075,,,,,,,,,,,,
72.0,200.0,-2.113190209865571,0.0,nan,40.0,800.0,0.16222121566534042,0.0006808726456123959,,,,,,,,,,,,
73.0,157.0,-1.8175322604179387,0.0,nan,32.0,628.0,0.17729193717241287,0.0003243331123782764,,,,,,,,,,,,
74.0,200.0,-1.5128831863403323,0.0,nan,40.0,800.0,0.11447414569556713,0.0005313025733549859,,,,,,,,,,,,
75.0,113.0,-1.278790460824967,0.0,nan,24.0,452.0,0.16747237369418144,0.002106236583092169,,,,,,,,,,,,
76.0,179.0,-2.375094213485719,0.0,nan,36.0,716.0,0.17487651482224464,0.0005768120490778905,,,,,,,,,,,,
77.0,200.0,-1.8345640093088158,0.0,nan,40.0,800.0,0.13803892582654953,0.0004095370310386315,,,,,,,,,,,,
78.0,200.0,-0.6304434299468998,0.0,nan,40.0,800.0,0.00525328004732728,0.0006072629594250575,,,,,,,,,,,,
79.0,200.0,-2.0013082981109633,0.0,nan,40.0,800.0,0.2751578278839588,0.00011150264466056308,,,,,,,,,,,,
80.0,67.0,-0.9659092497825624,0.0,nan,16.0,268.0,0.07026865147054195,0.0016606805986700834,1.0,0.0,0.0,0.25,0.0,17.260961532592773,2.8056344985961914,3.0051931053403678,6.0,1.0,111.0,-1.088534865379334
81.0,191.0,-2.3515561676025394,0.0,nan,40.0,764.0,0.24441014230251312,0.0004973976967804217,,,,,,,,,,,,
82.0,200.0,-1.951942729949953,0.0,nan,40.0,800.0,0.2141507789492607,0.006038374196269791,,,,,,,,,,,,
83.0,90.0,-0.977288991212845,0.0,nan,20.0,360.0,0.24401619657874107,0.019924526900675588,,,,,,,,,,,,
84.0,100.0,-0.8816581726074222,0.0,nan,20.0,400.0,0.045396759174764156,34348924732.056076,,,,,,,,,,,,
85.0,26.0,-0.5643708562850953,0.0,nan,8.0,104.0,0.07286647148430347,8.489004473416852,,,,,,,,,,,,
86.0,83.0,-0.9917149353027341,0.0,nan,20.0,332.0,0.10306222178041935,1.799610282604403,,,,,,,,,,,,
87.0,45.0,-0.7884150624275208,0.0,nan,12.0,180.0,0.08097197487950325,8811058886970.326,,,,,,,,,,,,
88.0,30.0,-0.39731552600860603,0.0,nan,8.0,120.0,0.4470892995595932,1.0331881423800064e+17,,,,,,,,,,,,
89.0,26.0,-0.510207233428955,0.0,nan,8.0,104.0,0.031054802471771836,0.0533647683234182,,,,,,,,,,,,
90.0,97.0,-0.8784001958370211,0.0,0.0,20.0,388.0,0.05211822967976332,0.03368033464812803,1.0,0.0,0.0,0.25,0.0,18.735660552978516,3.792023181915283,2.0052147755995975,2.0,1.0,29.0,-0.3528852128982544
91.0,51.0,-0.8222694969177244,0.0,nan,12.0,204.0,0.027149812784045935,2.724425482245654e+16,,,,,,,,,,,,
92.0,23.0,-0.49370885372161855,0.0,nan,8.0,92.0,0.008412219816818833,0.6374145572250073,,,,,,,,,,,,
93.0,37.0,-0.1263238501548768,0.0,nan,8.0,148.0,0.16936995834112167,1.5113274183150842e+16,,,,,,,,,,,,
94.0,11.0,-0.3392064189910889,0.0,nan,4.0,44.0,-0.0453058946877718,1.9919275591562332e+16,,,,,,,,,,,,
95.0,38.0,-0.6637369382381438,0.0,nan,8.0,152.0,0.2287209928035736,182.2759061680837,,,,,,,,,,,,
96.0,11.0,-0.3956642484664917,0.0,nan,4.0,44.0,0.23644325509667397,4780678548339247.0,,,,,,,,,,,,
97.0,57.0,-1.0579989087581636,0.0,nan,12.0,228.0,0.010683283675462008,0.05656653354907448,,,,,,,,,,,,
98.0,63.0,0.06567107558250429,0.0,nan,16.0,252.0,0.35413455218076706,1.804349339833862e+17,,,,,,,,,,,,
99.0,44.0,-0.3679990911483765,0.0,nan,12.0,176.0,0.280503086745739,3369781981633815.5,,,,,,,,,,,,
100.0,27.0,-0.46500036239624026,0.0,0.0,8.0,108.0,0.18257920071482658,4.5426307247529784e+16,1.0,0.0,0.0,0.25,0.0,21.368942260742188,3.791658878326416,1.97498658351833,2.0,1.0,29.0,-0.3777915143966674
101.0,50.0,-0.6548660635948181,0.0,nan,12.0,200.0,-0.021441240096464753,5.445688736845439e+16,,,,,,,,,,,,
102.0,21.0,-0.6046227073669435,0.0,nan,8.0,84.0,0.45038238167762756,620858953601.2913,,,,,,,,,,,,
103.0,28.0,-0.8363949584960938,0.0,nan,8.0,112.0,0.03231325000524521,1.2711152112402282e+16,,,,,,,,,,,,
104.0,32.0,-0.5370426607131958,0.0,nan,8.0,128.0,0.07680029980838299,1.2418969320260895e+18,,,,,,,,,,,,
105.0,30.0,-0.5623163104057312,0.0,nan,8.0,120.0,0.0060358233749866486,5.3754810112991315e+17,,,,,,,,,,,,
106.0,24.0,-0.5490751171112062,0.0,nan,8.0,96.0,0.012996729463338852,3.2121495259328456e+18,,,,,,,,,,,,
107.0,21.0,-0.4728889560699463,0.0,nan,8.0,84.0,0.10547672770917416,0.09895172224174162,,,,,,,,,,,,
108.0,27.0,-0.7205573272705078,0.0,nan,8.0,108.0,0.11573818139731884,1.8895291911329902e+18,,,,,,,,,,,,
109.0,42.0,-0.7093046379089356,0.0,nan,12.0,168.0,0.020355986896902323,0.1364133363490726,,,,,,,,,,,,
110.0,22.0,-0.4638986539840699,0.0,0.0,8.0,88.0,0.028125565499067307,0.24976713159544903,1.0,0.0,0.0,0.25,0.0,25.87476348876953,2.0659165382385254,3.4397932850552024,2.0,1.0,29.0,-0.5455681705474854
111.0,15.0,-0.500860869884491,0.0,nan,4.0,60.0,0.055637115612626076,1.345220198048028e+17,,,,,,,,,,,,
112.0,16.0,-0.614688835144043,0.0,nan,4.0,64.0,0.011376742273569107,5.02178701730277e+18,,,,,,,,,,,,
113.0,10.0,-0.38859543800354,0.0,nan,4.0,40.0,0.37526874989271164,10.702424905635416,,,,,,,,,,,,
114.0,67.0,-0.048126704692840805,0.0,nan,16.0,268.0,0.16919386759400368,1.3602587594433823e+18,,,,,,,,,,,,
115.0,34.0,-0.6503617668151856,0.0,nan,8.0,136.0,0.3017135038971901,2.50740976064896e+19,,,,,,,,,,,,
116.0,10.0,-0.3934232234954834,0.0,nan,4.0,40.0,-0.010260250885039568,1.2472623886300611e+17,,,,,,,,,,,,
117.0,50.0,-1.0413883447647097,0.0,nan,12.0,200.0,0.04778436431661248,5214730098059514.0,,,,,,,,,,,,
118.0,40.0,-0.789334726333618,0.0,nan,8.0,160.0,-0.02703592274338007,1.335672667274322e+16,,,,,,,,,,,,
119.0,37.0,-0.21625213146209726,0.0,nan,8.0,148.0,0.1709769032895565,2.8758964268944323e+17,,,,,,,,,,,,
120.0,32.0,-0.6119390201568604,0.0,0.0,8.0,128.0,-0.048884231597185135,3.089921328808293e+16,1.0,0.0,0.0,0.5,0.0,26.263856887817383,3.1437621116638184,2.979915597883519,2.0,1.0,30.0,-1.0348979949951174
121.0,24.0,-0.7044802689552307,0.0,nan,8.0,96.0,0.013141024624928832,2.1479640483059028e+16,,,,,,,,,,,,
122.0,16.0,-0.41473303347826007,0.0,nan,4.0,64.0,0.36594733595848083,9.882636117857573e+18,,,,,,,,,,,,
123.0,36.0,-0.518510959148407,0.0,nan,8.0,144.0,0.36062732338905334,1.1498792193453079e+18,,,,,,,,,,,,
124.0,58.0,-1.4628118324279786,0.0,nan,12.0,232.0,0.19193748757243156,1.264032396561932e+17,,,,,,,,,,,,
125.0,22.0,-0.46636807441711436,0.0,nan,8.0,88.0,0.26931656152009964,3.604411693271884e+17,,,,,,,,,,,,
126.0,81.0,-1.5797392106056214,0.0,nan,20.0,324.0,0.4018441140651703,1839946077697649.0,,,,,,,,,,,,
127.0,26.0,-0.49836319446563726,0.0,nan,8.0,104.0,0.08843563497066498,1.807646995184183e+16,,,,,,,,,,,,
128.0,11.0,-0.29923490047454837,0.0,nan,4.0,44.0,0.25348490476608276,9.793105718424461e+17,,,,,,,,,,,,
129.0,12.0,-0.40270937204360957,0.0,nan,4.0,48.0,0.14546199887990952,1.2691538110141781e+17,,,,,,,,,,,,
