iteration,episode_return_mean,train_success_rate,train_collision_rate,high_samples,loss_high_total,loss_high_actor,loss_high_value,high_entropy,high_approx_kl,high_clip_frac,high_entropy_coef,eval_episode_return_mean,eval_success_rate,eval_collision_rate,eval_steps_mean
1.0,-1.0097143745422361,0.0,0.1875,43.0,0.08789253793656826,-0.02575661588547007,0.38659752905368805,1.592992216348648,-0.0018825489509213256,0.0,0.05,-0.9795410847663879,0.0,0.125,5.375
2.0,-1.033033984899521,0.0,0.0625,38.0,-0.026240001432597637,-0.033055073508110766,0.17410286702215672,1.606565922498703,0.01584300174573927,0.02631578966975212,0.049942775393419174,,,,
3.0,-0.978622204065323,0.0,0.4375,64.0,-0.08192632254213095,-0.027349374257028103,0.049923057202249765,1.5944190919399261,-0.006592500489205122,0.03515625,0.049885550786838345,,,,
4.0,-0.5411615818738936,0.0,0.625,88.0,0.18075327295809984,-0.023739553056657314,0.563619576394558,1.551666870713234,0.013028522080276161,0.09765625,0.049828326180257516,,,,
5.0,-0.2821008767187593,0.0,0.3125,82.0,0.5625476092100143,0.004743831232190132,1.267240509390831,1.5233031958341599,0.003144618876831373,0.0069444444961845875,0.04977110157367668,,,,
6.0,-0.906840716600418,0.0,0.375,42.0,-0.0012373412027955055,-0.009905632175062351,0.16295096278190613,1.4645245671272278,0.0011555140911561068,0.0,0.04971387696709585,,,,
7.0,-0.8927610683441163,0.0,0.5625,52.0,-0.03514629229903221,-0.01734224398835238,0.10585657693445683,1.4244282245635986,0.005782137674172072,0.0,0.04965665236051502,,,,
8.0,-0.8423516488075256,0.0,0.6875,64.0,-0.056168717332184315,-0.01874583726748824,0.05888817645609379,1.34813991189003,-0.0006950721144676208,0.0,0.049599427753934194,,,,
9.0,-0.8239398050308226,0.0,0.8125,65.0,-0.42421218240633607,-0.38258333993144333,0.03134986147051677,1.1566658020019531,-0.015631661983206868,0.166015625,0.049542203147353366,,,,
10.0,-0.7870196044445038,0.0,0.75,65.0,0.106844128575176,0.14036774961277843,0.029498499468900263,0.9755052849650383,-0.024698251159861684,0.0390625,0.04948497854077254,,,,
11.0,-0.7225186097621918,0.0,0.9375,82.0,-0.0853492054156959,-0.05592839349992573,0.02183203469030559,0.8160765394568443,-0.004596022889018059,0.030598958488553762,0.04942775393419171,,,,
12.0,-0.7440739786624908,0.0,1.0,86.0,-0.03230548184365034,-0.0027754769835155457,0.01485173567198217,0.7485411241650581,-0.00033876820089062676,0.0,0.04937052932761087,,,,
13.0,-0.732891138792038,0.0,1.0,89.0,-0.024595240131020546,0.009263109532184899,0.01000756851863116,0.7880659177899361,0.003120501001831144,0.004999999888241291,0.049313304721030043,,,,
